miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;0,33;0,33;0,36;0,39;0,39;0,32;0,29;0,27;0,27
2;Алтайская государственная педагогическая академия;0,24;0,27;0,25;0,26;0,25;0,21;0,21;0,21;0,23
3;Алтайский государственный технический университет им. И.И. Ползунова;0,3;0,29;0,29;0,31;0,33;0,33;0,33;0,35;0,38
4;Алтайский государственный университет;0,3;0,51;0,55;0,57;0,55;0,53;0,55;0,56;0,54
5;Амурский государственный университет;0,24;0,27;0,29;0,34;0,35;0,37;0,41;0,45;0,47
6;Амурский гуманитарно-педагогический государственный университет;0,3;0,32;0,38;0,43;0,41;0,38;0,4;0,38;0,37
7;Ангарская государственная техническая академия;0,34;0,3;0,31;0,49;0,48;0,47;0,51;0,6;0,63
9;Армавирская государственная педагогическая академия;0,15;0,17;0,18;0,24;0,24;0,22;0,22;0,2;0,2
11;Астраханский государственный университет;0,2;0,22;0,23;0,28;0,24;0,23;0,21;0,21;0,23
12;Байкальский государственный университет экономики и права;0,21;0,2;0,25;0,24;0,24;0,26;0,28;0,34;0,41
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;0,23;0,23;0,25;0,34;0,35;0,33;0,27;0,19;0,2
14;Башкирский государственный педагогический университет им. М. Акмуллы;0,08;0,18;0,2;0,2;0,22;0,24;0,25;0,26;0,28
15;Башкирский государственный университет;0,25;0,26;0,3;0,33;0,32;0,33;0,34;0,35;0,36
16;Белгородский государственный технологический университет им. В.Г. Шухова;0,28;0,44;0,48;0,51;0,53;0,54;0,59;0,59;0,61
17;Белгородский государственный национальный исследовательский университет;0,32;0,28;0,28;0,33;0,38;0,42;0,4;0,34;0,4
19;Алтайская государственная академия образования имени В.М. Шукшина;0,29;0,34;0,46;0,62;0,65;0,7;0,72;0,74;0,63
21;Благовещенский государственный педагогический университет;0,3;0,34;0,35;0,39;0,39;0,4;0,43;0,4;0,36
23;Братский государственный университет;0,46;0,51;0,56;0,56;0,72;0,74;0,71;0,75;0,77
24;Брянская государственная инженерно-технологическая академия;0,38;0,43;0,32;0,42;0,31;0,5;0,55;0,38;0,43
25;Брянский государственный технический университет;0,26;0,28;0,31;0,37;0,38;0,4;0,44;0,47;0,46
26;Брянский государственный университет имени академика И.Г. Петровского.;0,2;0,22;0,26;0,28;0,26;0,25;0,19;0,21;0,26
27;Бурятский государственный университет;0,25;0,25;0,28;0,31;0,35;0,38;0,38;0,39;0,42
28;Владивостокский государственный университет экономики и сервиса;0,97;0,93;0,72;0,69;0,6;0,61;0,55;0,54;0,56
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;0,27;0,28;0,29;0,31;0,31;0,34;0,35;0,37;0,4
33;Волгоградский государственный архитектурно-строительный университет;0,23;0,26;0,28;;;;;;
34;Волгоградский государственный социально-педагогический университет;0,28;0,28;0,3;;0,34;0,38;0,38;0,37;0,34
35;Волгоградский государственный технический университет;0,42;0,44;0,46;0,47;0,42;0,44;0,39;0,4;0,43
36;Волгоградский государственный университет;0,41;0,41;0,3;0,35;0,36;0,34;0,34;0,38;0,39
39;Вологодский государственный университет;0,45;0,46;0,39;0,48;0,52;0,58;0,51;0,51;0,51
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;0,23;0,27;0,29;0,38;0,4;0,36;0,29;0,31;0,31
41;Воронежский государственный университет инженерных технологий;0,25;0,23;0,22;0,24;0,23;0,25;0,25;0,27;0,29
42;Воронежский государственный архитектурно-строительный университет;0,24;0,23;0,23;;;;;;
43;Воронежский государственный педагогический университет;0,26;0,27;0,3;0,31;0,31;0,31;0,36;0,36;0,31
44;Воронежский государственный технический университет;0,29;0,24;0,26;0,32;0,25;0,24;0,22;0,22;0,22
45;Воронежский государственный университет ;0,19;0,17;0,19;0,23;0,22;0,23;0,21;0,19;0,22
46;Восточно-Сибирский государственный университет технологий и управления;0,29;0,32;0,34;0,37;0,37;0,38;0,43;0,46;0,47
48;Высшая школа народных искусств (институт);0,32;0,43;0,45;0,51;0,69;0,69;0,77;0,75;0,79
49;Вятский государственный гуманитарный университет;0,23;0,26;0,29;;;;;;
50;Вятский государственный университет;0,37;0,34;0,32;0,32;0,32;0,33;0,32;0,32;0,35
51;Гжельский государственный художественно-промышленный институт;0,34;0,4;0,41;0,4;0,4;0,4;0,39;0,35;0,35
52;Глазовский государственный педагогический институт имени В.Г. Короленко;0,38;0,39;0,39;0,39;0,34;0,34;0,41;0,37;0,35
53;Горно-Алтайский государственный университет;0,23;0,3;0,31;0,35;0,43;0,45;0,47;0,53;0,53
54;Государственная академия славянской культуры;0,24;0,26;0,34;;;;;;
55;Государственная классическая академия имени Маймонида;0,13;0,35;;;;;;;
56;Государственная полярная академия;;;0,25;;;;;;
57;Государственный академический университет гуманитарных наук;0,27;0,29;0,32;0,37;0,38;0,28;0,24;0,27;0,27
58;Государственный институт русского языка им. А.С. Пушкина;0,46;0,54;1,07;1,12;0,98;1;0,89;0,81;0,73
59;Национальный исследовательский технологический университет МИСиС;0,56;0,77;0,5;0,58;0,57;0,63;0,66;0,67;0,69
60;Государтвенный университет управления;0,31;0,28;0,22;0,29;0,27;0,13;0,31;0,32;0,31
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;0,29;0,31;0,29;0,34;0,34;0,43;0,45;0,41;0,42
62;Дагестанский государственный педагогический университет;0,25;0,28;0,33;0,29;0,27;0,29;0,31;0,29;0,14
63;Дагестанский государственный технический университет;0,52;0,62;0,73;0,85;0,94;0,96;0,98;1,01;1,04
64;Дагестанский государственный университет;0,21;0,22;0,21;0,22;0,22;0,21;0,21;0,21;0,25
66;Приамурский государственный университет имени Шолом-Алейхема;0,64;0,69;0,75;0,98;0,99;1;0,61;0,54;0,58
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;0,25;0,24;0,18;0,17;0,21;0,18;0,18;0,19;0,19
72;Елецкий государственный университет им. И.А. Бунина;0,17;0,19;0,26;0,34;0,36;0,39;0,36;0,36;0,36
76;Ивановский государственный университет;0,27;0,3;0,39;0,4;0,5;0,39;0,38;0,36;0,35
77;Ивановский государственный химико-технологический университет;0,3;0,31;0,35;0,39;0,35;0,38;0,42;0,44;0,44
78;Ивановский государственный энергетический университет имени В.И. Ленина;0,47;0,45;0,48;0,49;0,48;0,5;0,54;0,56;0,56
79;Ижевский государственный технический университет имени М.Т. Калашникова;0,37;0,4;0,47;0,44;0,47;0,49;0,47;0,47;0,47
80;Ингушский государственный университет;0,1;0,12;0,14;0,18;0,16;0,16;0,16;0,18;0,15
82;Иркутский национальный исследовательский технический университет;0,21;0,3;0,36;0,39;0,36;0,27;0,3;0,33;0,33
