miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;;6,41;8,67;11,06;18,94;26,18;27,58;27,21
2;Алтайская государственная педагогическая академия;;;1,51;1,86;2,31;2,33;2,38;3,12;4,5
3;Алтайский государственный технический университет им. И.И. Ползунова;;;3,82;5,66;6,02;7,24;7,12;7,24;8,6
4;Алтайский государственный университет;;;4,53;6,75;7,63;9,08;9,73;11,64;13,34
5;Амурский государственный университет;;;1,62;2,45;2,15;2,30;3,01;3,59;4,72
6;Амурский гуманитарно-педагогический государственный университет;;;1,17;1,58;1,64;1,33;1,66;2,25;1,55
7;Ангарская государственная техническая академия;;;0,25;0,56;0,24;0,24;0,33;0,24;0,46
9;Армавирская государственная педагогическая академия;;;1,18;1,61;3,22;3,90;4,28;4,11;4,11
11;Астраханский государственный университет;;;6,74;8,05;10,31;14,34;17,44;18,49;17,77
12;Байкальский государственный университет экономики и права;;;1,86;1,92;2,26;2,35;2,39;3,10;2,9
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;;6,49;5,57;4,77;4,52;3,81;3,22;3,56
14;Башкирский государственный педагогический университет им. М. Акмуллы;;;1,53;2,76;3,02;2,79;2,66;2,67;3,32
15;Башкирский государственный университет;;;1,51;2,34;2,67;2,67;2,76;3,17;3,37
16;Белгородский государственный технологический университет им. В.Г. Шухова;;;5,87;6,62;7,64;7,98;7,65;8,80;10,95
17;Белгородский государственный национальный исследовательский университет;;;8,49;11,59;12,41;14,31;14,02;15,11;15,56
19;Алтайская государственная академия образования имени В.М. Шукшина;;;1,00;1,94;2,42;2,55;3,58;3,84;3,51
21;Благовещенский государственный педагогический университет;;;3,95;4,91;4,88;5,41;5,54;5,55;5,66
23;Братский государственный университет;;;1,39;1,85;2,34;2,42;2,10;1,92;1,84
24;Брянская государственная инженерно-технологическая академия;;;3,76;2,67;4,17;5,72;5,54;7,01;7,46
25;Брянский государственный технический университет;;;3,48;3,28;4,37;5,04;5,27;5,48;6,74
26;Брянский государственный университет имени академика И.Г. Петровского.;;;3,02;2,48;2,06;1,87;1,18;1,09;0,94
27;Бурятский государственный университет;;;1,38;1,94;2,10;1,80;1,90;2,09;1,97
28;Владивостокский государственный университет экономики и сервиса;;;5,33;5,68;4,38;5,33;5,77;6,10;6,36
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;;2,49;2,75;2,96;3,42;3,94;3,72;3,84
33;Волгоградский государственный архитектурно-строительный университет;;;2,26;;;;;;
34;Волгоградский государственный социально-педагогический университет;;;2,08;;2,43;2,90;2,24;2,30;3,08
35;Волгоградский государственный технический университет;;;4,66;5,00;4,70;5,42;6,00;8,05;9,54
36;Волгоградский государственный университет;;;2,09;2,78;2,60;3,08;3,25;3,67;4,2
39;Вологодский государственный университет;;;0,29;0,33;0,43;0,51;1,05;1,38;1,53
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;;7,90;8,76;9,29;12,05;14,05;16,17;16,47
41;Воронежский государственный университет инженерных технологий;;;4,75;6,19;4,64;6,74;6,98;7,76;7,86
42;Воронежский государственный архитектурно-строительный университет;;;3,37;;;;;;
