miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;11;4;5;3;5;5;9;9
2;Алтайская государственная педагогическая академия;;61;101;198;189;126;103;68;85
3;Алтайский государственный технический университет им. И.И. Ползунова;;70;52;56;20;14;18;23;16
4;Алтайский государственный университет;;79;61;53;7;8;23;66;66
5;Амурский государственный университет;;41;32;38;11;34;27;23;15
6;Амурский гуманитарно-педагогический государственный университет;;12;13;12;8;21;19;19;16
7;Ангарская государственная техническая академия;;0;0;0;0;0;0;0;0
9;Армавирская государственная педагогическая академия;;46;46;65;96;100;114;49;38
11;Астраханский государственный университет;;40;73;61;42;35;39;35;34
12;Байкальский государственный университет экономики и права;;16;31;41;2;2;9;8;12
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;362;358;318;339;307;271;111;134
14;Башкирский государственный педагогический университет им. М. Акмуллы;;39;67;78;56;53;111;50;70
15;Башкирский государственный университет;;44;58;76;62;43;66;62;53
16;Белгородский государственный технологический университет им. В.Г. Шухова;;90;68;50;34;22;32;32;27
17;Белгородский государственный национальный исследовательский университет;;27;64;89;85;81;109;125;145
19;Алтайская государственная академия образования имени В.М. Шукшина;;28;18;31;45;36;23;18;16
21;Благовещенский государственный педагогический университет;;56;36;38;0;8;19;17;14
23;Братский государственный университет;;22;3;2;0;0;0;0;3
24;Брянская государственная инженерно-технологическая академия;;22;21;13;0;5;1;1;11
25;Брянский государственный технический университет;;22;39;28;19;34;22;18;22
26;Брянский государственный университет имени академика И.Г. Петровского.;;33;25;29;0;7;7;29;29
27;Бурятский государственный университет;;99;88;94;81;49;59;48;58
28;Владивостокский государственный университет экономики и сервиса;;0;0;39;11;0;5;1;4
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;145;110;100;142;72;109;54;63
33;Волгоградский государственный архитектурно-строительный университет;;5;4;;;;;;
34;Волгоградский государственный социально-педагогический университет;;95;66;;74;49;31;74;80
35;Волгоградский государственный технический университет;;55;68;27;40;32;31;20;18
36;Волгоградский государственный университет;;25;21;16;14;13;10;8;54
39;Вологодский государственный университет;;35;55;45;30;30;29;41;42
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;23;21;14;46;31;21;38;40
41;Воронежский государственный университет инженерных технологий;;72;29;53;11;7;9;4;6
42;Воронежский государственный архитектурно-строительный университет;;228;319;;;;;;
43;Воронежский государственный педагогический университет;;92;77;74;90;53;47;54;69
44;Воронежский государственный технический университет;;126;190;222;416;353;291;170;137
45;Воронежский государственный университет ;;40;36;62;55;28;34;32;28
46;Восточно-Сибирский государственный университет технологий и управления;;92;122;105;64;53;56;69;42
48;Высшая школа народных искусств (институт);;0;0;0;0;0;0;0;0
49;Вятский государственный гуманитарный университет;;39;57;;;;;;
50;Вятский государственный университет;;122;77;145;124;107;129;98;80
51;Гжельский государственный художественно-промышленный институт;;0;0;0;0;0;0;0;0
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;14;162;168;166;89;82;53;54
53;Горно-Алтайский государственный университет;;29;25;19;6;10;22;14;6
54;Государственная академия славянской культуры;;0;0;;;;;;
55;Государственная классическая академия имени Маймонида;;0;;;;;;;
56;Государственная полярная академия;;;1;;;;;;
57;Государственный академический университет гуманитарных наук;;0;0;0;0;0;0;2;4
58;Государственный институт русского языка им. А.С. Пушкина;;0;0;0;0;0;0;0;0
59;Национальный исследовательский технологический университет МИСиС;;27;46;25;14;7;8;9;14
60;Государтвенный университет управления;;56;53;45;31;6;6;42;50
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;19;1;0;3;7;10;10;9
62;Дагестанский государственный педагогический университет;;0;0;0;0;6;0;0;0
63;Дагестанский государственный технический университет;;61;30;51;30;7;0;1;0
64;Дагестанский государственный университет;;90;100;91;19;25;38;18;11
66;Приамурский государственный университет имени Шолом-Алейхема;;11;12;3;2;14;11;0;0
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;53;56;48;111;114;121;100;54
72;Елецкий государственный университет им. И.А. Бунина;;21;14;13;6;7;8;14;14
76;Ивановский государственный университет;;18;8;15;2;2;4;6;6
77;Ивановский государственный химико-технологический университет;;20;30;22;12;12;20;10;8
78;Ивановский государственный энергетический университет имени В.И. Ленина;;0;0;19;69;82;72;62;26
79;Ижевский государственный технический университет имени М.Т. Калашникова;;300;147;116;115;175;189;84;78
80;Ингушский государственный университет;;67;54;82;20;48;73;119;146
82;Иркутский национальный исследовательский технический университет;;237;291;251;203;183;164;138;55
83;Иркутский государственный университет;;15;47;70;26;72;71;91;73
85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;;10;17;31;51;39;55;85;75
86;Казанский государственный архитектурно-строительный университет;;70;52;53;55;40;21;33;35
87;Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ;;105;147;165;177;129;185;105;123
88;Казанский национальный исследовательский технологический университет;;288;341;320;82;109;132;145;135
91;Казанский государственный энергетический университет;;75;54;55;60;66;51;18;30
92;Калмыцкий государственный университет;;53;77;66;29;22;18;20;20
93;Калужский государственный университет им. К.Э. Циолковского;;29;27;40;43;38;25;65;74
95;Камчатский государственный университет имени Витуса Беринга;;2;1;0;0;7;5;2;
96;Северо-Кавказская государственная гуманитарно-технологическая академия;;8;0;0;0;0;0;7;56
97;Карачаево-Черкесского государственного университета имени У.Д. Алиева;;8;2;2;0;1;4;0;0
99;Кемеровский государственный университет;;52;50;116;43;26;59;45;41
100;Кемеровский технологический институт пищевой промышленности;;0;47;51;8;4;;;
101;Ковровская государственная технологическая академия имени В.А.Дегтярева;;57;25;20;19;19;12;5;7
103;Комсомольский-на-Амуре государственный технический университет;;147;78;82;101;88;78;12;11
104;Костромской государственный технологический университет.;;17;56;47;90;78;75;35;41
105;Костромской государственный университет имени Н.А. Некрасова;;34;23;;;;;;
106;Красноярский государственный педагогический университетим. В.П. Астафьева;;40;37;35;78;93;89;60;66
108;Кубанский государственный технологический университет;;60;31;36;28;39;36;36;51
109;Кубанский государственный университет;;117;79;162;211;188;199;89;88
111;Кузбасский государственный технический университет имени Т.Ф.Горбачева;;84;54;60;33;27;43;30;28
112;Курганский государственный университет;;88;224;153;103;51;35;37;39
113;Юго-Западный государственный университет;;108;67;41;29;42;33;12;25
114;Курский государственный университет;;85;79;92;99;59;85;44;51
116;Липецкий государственный педагогический университет;;52;48;37;131;88;127;69;65
117;Липецкий государственный технический университет;;39;47;33;37;47;62;39;29
118;Литературный институт имени А.М. Горького;;0;0;1;2;5;5;7;0
119;МАТИ - Российский государственный технологический университет имени К.Э. Циолковского;;88;;;;;;;
120;Магнитогорский государственный технический университет им. Г.И. Носова;;113;94;72;32;36;52;36;32
122;Майкопский государственный технологический университет;;11;50;37;93;57;64;77;92
123;Поволжский государственный технологический университет;;40;81;134;83;58;52;41;25
124;Марийский государственный университет;;17;25;11;59;48;50;73;64
126;Мордовский государственный педагогический институт имени М.Е. Евсевьева;;125;91;96;96;97;66;87;94
127;Мордовский государственный университет им. Н.П. Огарёва;;191;242;232;160;148;107;177;206
129;Московский государственный университет тонких химических технологий имени М.В. Ломоносова;;41;21;;;;;;
130;Московский государственный юридический университет имени О.Е. Кутафина;;210;225;237;231;160;175;151;176
131;Московский авиационный институт (национальный исследовательский университет);;587;622;790;898;824;729;540;458
132;Московский автомобильно-дорожный государственный технический университет (МАДИ);;49;51;46;30;28;28;10;30
133;Московский архитектурный институт (государственная академия);;7;18;16;19;2;6;4;7
134;МИРЭА - Российский технологический университет;;138;134;248;391;328;436;262;313
136;Московский государственный горный университет;;;;;;;;;
137;Московский государственный гуманитарный университет имени М.А. Шолохова;;5;;;;;;;
138;Московский государственный индустриальный университет;;27;;;;;;;
140;Национальный исследовательский университет МИЭТ;;106;36;62;82;92;82;78;68
141;Московский государственный лингвистический университет;;78;84;75;65;61;65;64;51
143;Московский государственный гуманитарно-экономический университет;;1;2;1;0;0;0;0;0
144;Московский государственный строительный университет;;57;91;38;44;81;98;10;33
146;Московский государственный машиностроительный университет (МАМИ);;48;28;;;;;;
147;Московский государственный технический университет имени Н.Э. Баумана;;829;1088;1266;1291;1283;1235;791;757
148;Московский государственный технологический университет СТАНКИН;;45;62;58;62;70;56;30;31
149;Московский государственный университет экономики, статистики и информатики (МЭСИ);;16;;;;;;;
150;Московский государственный университет геодезии и картографии (МИИГАиК);;42;29;29;20;22;22;30;40
151;Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство);;13;12;14;13;8;15;5;8
153;Московский государственный университет леса;;60;44;;;;;;
154;Московский государственный университет печати имени Ивана Федорова;;20;27;;;;;;
155;Московский государственный университет пищевых производств;;24;2;;4;6;0;14;25
156;Московский государственный университет приборостроения и информатики;;187;;;;;;;
158;Московский государственный университет технологий и управления имени К.Г.Разумовского;;66;41;13;47;51;53;31;25
159;Московская государственная художественно-промышленная академия имени С.Г. Строганова;;6;1;0;5;5;3;0;0
160;Московский педагогический государственный университет;;86;77;94;152;6;17;41;93
161;Московский физико-технический институт (государственный университет);;53;83;142;159;80;82;70;72
162;Национальный исследовательский университет МЭИ;;100;100;118;125;122;143;101;129
163;Мурманский арктический государственный университет;;13;16;26;26;31;50;21;20
164;Набережночелнинский институт социально-педагогических технологий и ресурсов;;13;13;18;31;17;0;15;17
165;Национальный исследовательский ядерный университет МИФИ;;150;74;81;73;79;74;57;72
166;Нижегородский  осударственный архитектурно-строительный университет;;1;2;0;2;1;6;5;8
167;Нижегородский государственный лингвистический университет им. Н.А.Добролюбова;;13;12;12;2;2;4;6;7
168;Нижегородский государственный педагогический университет имени Козьмы Минина (Мининский университет);;71;60;98;65;48;71;68;72
169;Нижегородский государственный технический университет им. Р.Е. Алексеева;;197;294;261;330;207;225;76;67
170;Нижегородский государственный университет им. Н.И.Лобачевского;;188;169;199;127;136;164;165;96
172;Нижнетагильская государственная социально-педагогическая академия;;;;;;;;;
173;Новгородский государственный университет имени Ярослава Мудрого.;;123;129;97;92;93;134;112;124
174;Новосибирская государственная архитектурно-художественная академия;;9;9;13;12;11;5;2;1
175;Новосибирский государственный архитектурно-строительный университет (Сибстрин);;60;38;41;43;43;32;14;10
176;Новосибирский государственный педагогический университет;;70;48;46;155;115;90;75;104
177;Новосибирский государственный технический университет;;235;121;150;169;146;101;67;59
178;Новосибирский национальный исследовательский государственный университет;;0;0;2;2;3;7;7;35
179;Новосибирский государственный университет экономики и управления НИНХ;;11;8;25;5;5;6;4;21
180;Норильский индустриальный институт;;0;0;0;0;0;0;0;0
181;Омский государственный институт сервиса;;6;9;;;;;;
182;Омский государственный педагогичесий университет;;53;37;42;49;74;52;49;58
183;Омский государственный технический университет;;481;531;510;478;391;290;157;133
184;Омский государственный университет им. Ф.М. Достоевского;;52;26;23;31;26;36;15;20
185;Оренбургский государственный институт менеджмента;;11;;;;;;;
186;Оренбургский государственный педагогический университет;;22;42;36;35;27;44;45;49
187;Оренбургский государственный университет;;122;91;106;42;27;46;32;25
189;Орловский государственный институт экономики и торговли;;2;2;0;0;0;0;0;0
190;Государственный университет-учебно-научно-производственный комплекс;;97;72;;;;;;
191;Орловский государственный университет;;113;115;105;144;116;138;125;107
192;Пензенский государственный технологический университет;;52;28;8;13;12;5;3;7
194;Пензенский государственный университет;;348;419;330;368;281;335;300;257
195;Пензенский государственный университет архитектуры и строительства;;7;81;85;57;74;45;29;27
196;Пермский государственный гуманитарно-педагогический университет;;60;47;53;30;26;20;46;47
197;Пермский национальный исследовательский политехнический университет;;223;208;231;245;247;204;111;98
198;Пермский государственный национальный исследовательский университет;;5;0;4;3;1;2;10;9
199;Петрозаводский государственный университет;;59;147;120;86;99;123;136;133
201;Поволжская государственная социально-гуманитарная академия;;70;63;80;79;94;76;59;67
202;Поволжский государственный университет сервиса;;0;1;0;0;0;0;0;0
206;Пущинский государственый естественно-научный институт;;0;0;0;0;0;0;0;0
207;Пятигорский государственный лингвистический университет;;31;25;27;7;9;8;17;15
209;Российский экономический университет имени Г.В. Плеханова;;65;52;63;58;44;45;52;42
210;Российский государственный геологоразведочный университет имени Серго Орджоникидзе;;35;29;29;16;8;13;3;5
211;Российский государственный гидрометеорологический университет;;40;34;34;15;25;13;5;10
212;Российский государственный гуманитарный университет;;16;15;21;0;0;6;4;13
213;Российский государственный педагогический университет им. А. И. Герцена;;211;165;201;158;180;173;110;119
214;Российский государственный профессионально-педагогический университет;;6;61;36;28;24;18;15;14
