miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;455;420;398;385;373;363;350;343;348
2;Алтайская государственная педагогическая академия;376;349;329;315;305;314;303;289;286
3;Алтайский государственный технический университет им. И.И. Ползунова;878;798;759;707;674;646;608;560;510
4;Алтайский государственный университет;757;698;613;585;554;545;565;539;518
5;Амурский государственный университет;548;374;344;303;280;277;252;239;239
6;Амурский гуманитарно-педагогический государственный университет;176;166;147;117;118;119;118;117;104
7;Ангарская государственная техническая академия;165;147;119;106;99;96;91;91;90
9;Армавирская государственная педагогическая академия;362;241;242;222;213;213;208;203;203
11;Астраханский государственный университет;744;682;615;615;607;542;537;524;502
12;Байкальский государственный университет экономики и права;502;486;498;500;478;447;440;342;363
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;505;473;462;467;465;479;495;493;510
14;Башкирский государственный педагогический университет им. М. Акмуллы;551;582;421;418;403;364;353;340;316
15;Башкирский государственный университет;979;910;905;857;833;774;742;714;706
16;Белгородский государственный технологический университет им. В.Г. Шухова;582;557;548;545;551;556;594;615;622
17;Белгородский государственный национальный исследовательский университет;1 194;1 205;1 156;1 086;1 084;969;950;943;916
19;Алтайская государственная академия образования имени В.М. Шукшина;252;205;155;108;94;78;64;64;65
21;Благовещенский государственный педагогический университет;289;244;217;193;184;177;169;171;161
23;Братский государственный университет;275;256;249;237;224;210;196;184;170
24;Брянская государственная инженерно-технологическая академия;288;246;218;202;182;158;151;144;143
25;Брянский государственный технический университет;409;350;336;304;308;300;301;306;297
26;Брянский государственный университет имени академика И.Г. Петровского.;542;464;411;357;328;305;293;284;282
27;Бурятский государственный университет;637;610;583;586;565;548;541;531;504
28;Владивостокский государственный университет экономики и сервиса;382;322;344;347;279;264;273;266;281
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;1 119;1 077;1 070;998;927;892;876;862;842
33;Волгоградский государственный архитектурно-строительный университет;408;374;365;;;;;;
34;Волгоградский государственный социально-педагогический университет;661;589;539;;496;470;444;440;426
35;Волгоградский государственный технический университет;701;669;650;610;905;845;794;773;734
36;Волгоградский государственный университет;574;537;511;482;488;460;447;412;409
39;Вологодский государственный университет;349;343;596;583;562;530;474;452;363
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;331;300;272;227;227;218;214;211;222
41;Воронежский государственный университет инженерных технологий;495;503;424;391;358;333;326;328;310
42;Воронежский государственный архитектурно-строительный университет;553;576;579;;;;;;
43;Воронежский государственный педагогический университет;401;394;389;359;347;345;330;327;326
44;Воронежский государственный технический университет;654;613;598;561;1 053;1 027;998;956;906
45;Воронежский государственный университет ;1 356;1 364;1 369;1 327;1 331;1 285;1 253;1 243;1236
46;Восточно-Сибирский государственный университет технологий и управления;731;640;629;570;587;424;418;391;383
48;Высшая школа народных искусств (институт);56;53;45;23;24;23;21;23;23
49;Вятский государственный гуманитарный университет;476;434;416;;;;;;
50;Вятский государственный университет;464;456;437;853;864;787;727;682;639
51;Гжельский государственный художественно-промышленный институт;85;57;61;58;59;59;63;63;65
52;Глазовский государственный педагогический институт имени В.Г. Короленко;136;123;113;104;100;98;97;94;96
53;Горно-Алтайский государственный университет;312;275;271;258;250;223;168;173;165
54;Государственная академия славянской культуры;102;75;81;;;;;;
55;Государственная классическая академия имени Маймонида;501;404;;;;;;;
56;Государственная полярная академия;;;99;;;;;;
57;Государственный академический университет гуманитарных наук;19;19;29;19;29;31;43;63;70
58;Государственный институт русского языка им. А.С. Пушкина;135;123;91;89;90;98;80;76;67
59;Национальный исследовательский технологический университет МИСиС;495;492;958;864;782;740;665;634;606
60;Государтвенный университет управления;954;781;506;578;579;573;507;490;481
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;439;442;442;443;431;296;294;284;286
62;Дагестанский государственный педагогический университет;917;852;824;812;611;468;409;427;418
