miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;;87,39;83,50;69,89;59,89;55,17;52,39;60,04
2;Алтайская государственная педагогическая академия;;;81,50;80,38;79,43;78,68;77,45;76,84;84,03
3;Алтайский государственный технический университет им. И.И. Ползунова;;;70,76;68,19;69,28;69,69;70,96;72,16;79,04
4;Алтайский государственный университет;;;68,62;67,20;68,83;62,40;56,73;54,36;57,38
5;Амурский государственный университет;;;61,85;57,57;53,43;55,08;59,59;53,20;63,76
6;Амурский гуманитарно-педагогический государственный университет;;;66,16;68,32;65,42;72,92;78,09;83,63;87,55
7;Ангарская государственная техническая академия;;;82,35;76,90;75,16;78,07;78,15;83,82;82,92
9;Армавирская государственная педагогическая академия;;;58,73;62,01;60,08;57,02;63,52;62,46;70,46
11;Астраханский государственный университет;;;68,93;58,14;58,62;55,00;54,11;53,08;66,62
12;Байкальский государственный университет экономики и права;;;43,00;45,35;39,21;36,27;30,52;29,66;36,33
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;;61,39;69,88;64,21;68,12;76,20;71,92;68,85
14;Башкирский государственный педагогический университет им. М. Акмуллы;;;63,40;60,34;59,73;60,80;59,90;59,94;63,04
15;Башкирский государственный университет;;;63,11;55,25;59,15;52,01;51,31;54,63;57,82
16;Белгородский государственный технологический университет им. В.Г. Шухова;;;58,61;56,88;55,72;58,00;60,54;60,28;57,88
17;Белгородский государственный национальный исследовательский университет;;;55,59;50,54;52,81;47,86;50,26;46,07;49,33
19;Алтайская государственная академия образования имени В.М. Шукшина;;;87,05;85,58;85,64;87,75;87,62;86,55;89,52
21;Благовещенский государственный педагогический университет;;;72,26;70,59;68,28;71,85;71,24;69,34;78,43
23;Братский государственный университет;;;79,11;75,78;75,53;72,39;75,93;82,63;81,73
24;Брянская государственная инженерно-технологическая академия;;;65,18;64,80;64,43;68,04;62,56;61,83;74,13
25;Брянский государственный технический университет;;;62,53;71,62;70,82;65,39;68,05;68,65;68,98
26;Брянский государственный университет имени академика И.Г. Петровского.;;;69,43;66,30;61,42;57,16;57,79;52,90;56,32
27;Бурятский государственный университет;;;76,29;72,40;71,80;68,12;68,77;77,83;78,37
28;Владивостокский государственный университет экономики и сервиса;;;54,41;46,86;40,04;33,27;28,68;24,25;24,23
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;;69,50;65,73;63,46;65,65;63,94;63,17;67,39
33;Волгоградский государственный архитектурно-строительный университет;;;68,50;;;;;;
34;Волгоградский государственный социально-педагогический университет;;;70,71;;71,71;74,71;72,95;73,30;74,69
35;Волгоградский государственный технический университет;;;54,03;47,51;59,29;54,27;53,87;53,39;59,16
36;Волгоградский государственный университет;;;66,98;67,39;65,42;62,51;63,10;62,01;62,11
39;Вологодский государственный университет;;;74,65;71,33;68,92;68,63;71,31;70,94;74,44
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;;63,35;61,73;55,85;51,35;49,10;42,81;53,97
41;Воронежский государственный университет инженерных технологий;;;69,20;67,96;68,24;67,37;66,02;65,07;73,14
42;Воронежский государственный архитектурно-строительный университет;;;58,77;;;;;;
43;Воронежский государственный педагогический университет;;;74,97;66,93;68,94;65,01;63,64;57,46;61,79
44;Воронежский государственный технический университет;;;61,49;64,54;69,01;66,57;69,29;72,59;77,43
45;Воронежский государственный университет ;;;62,76;55,05;55,53;57,24;59,94;55,90;60,13
46;Восточно-Сибирский государственный университет технологий и управления;;;71,06;65,36;62,79;62,01;69,96;67,89;75,31
48;Высшая школа народных искусств (институт);;;92,98;94,15;93,86;94,44;93,45;91,95;96,93
49;Вятский государственный гуманитарный университет;;;57,86;;;;;;
50;Вятский государственный университет;;;70,19;62,29;64,60;64,01;63,30;62,26;67,31
51;Гжельский государственный художественно-промышленный институт;;;71,68;62,62;49,51;48,67;59,15;63,25;54,69
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;;69,76;69,29;67,98;68,24;68,82;71,20;81,1
53;Горно-Алтайский государственный университет;;;88,96;89,31;89,12;87,01;87,62;87,73;90,61
54;Государственная академия славянской культуры;;;87,99;;;;;;
55;Государственная классическая академия имени Маймонида;;;;;;;;;
56;Государственная полярная академия;;;37,99;;;;;;
57;Государственный академический университет гуманитарных наук;;;42,86;46,97;45,43;45,48;49,41;50,76;48,42
58;Государственный институт русского языка им. А.С. Пушкина;;;49,44;12,67;25,77;25,96;39,43;39,26;58,59
59;Национальный исследовательский технологический университет МИСиС;;;74,01;75,06;67,27;64,43;52,63;58,10;56,29
60;Государтвенный университет управления;;;38,47;35,07;31,47;34,48;47,75;45,64;48,13
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;;71,60;73,62;70,80;71,66;75,71;78,26;70,98
62;Дагестанский государственный педагогический университет;;;85,86;90,41;88,41;89,89;92,08;93,13;93,32
63;Дагестанский государственный технический университет;;;76,34;57,74;58,11;72,33;67,37;61,08;67,96
64;Дагестанский государственный университет;;;86,26;83,21;80,09;77,98;76,54;74,60;77,63
66;Приамурский государственный университет имени Шолом-Алейхема;;;75,28;73,72;73,95;78,19;78,12;81,52;83,77
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;;67,45;69,10;68,89;70,29;73,25;65,64;72,74
72;Елецкий государственный университет им. И.А. Бунина;;;87,78;86,13;79,72;81,31;80,77;83,74;85,88
76;Ивановский государственный университет;;;67,61;63,75;69,78;72,44;65,18;59,69;67,79
77;Ивановский государственный химико-технологический университет;;;69,85;65,50;68,16;65,58;68,69;67,32;70,86
78;Ивановский государственный энергетический университет имени В.И. Ленина;;;73,09;67,82;68,13;68,87;67,35;68,93;72,18
79;Ижевский государственный технический университет имени М.Т. Калашникова;;;52,53;43,02;64,87;62,52;63,02;63,94;70,42
80;Ингушский государственный университет;;;93,19;90,88;84,87;87,71;82,60;80,02;82,3
82;Иркутский национальный исследовательский технический университет;;;70,05;64,78;65,31;64,56;67,20;69,40;72,45
83;Иркутский государственный университет;;;71,40;68,76;67,99;68,10;63,06;69,56;70,74
85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;;;76,22;74,81;69,93;61,66;59,93;52,80;49,37
86;Казанский государственный архитектурно-строительный университет;;;56,13;49,90;49,48;45,42;45,63;46,77;52,9
87;Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ;;;69,74;64,17;64,94;54,94;62,74;63,13;68,87
88;Казанский национальный исследовательский технологический университет;;;50,55;47,28;60,98;61,70;67,95;59,55;61,94
91;Казанский государственный энергетический университет;;;57,97;51,99;61,14;61,45;59,61;63,57;64,12
92;Калмыцкий государственный университет;;;81,79;75,25;72,79;68,52;70,06;70,57;76,47
93;Калужский государственный университет им. К.Э. Циолковского;;;74,35;64,52;57,93;58,27;55,16;50,15;52,34
95;Камчатский государственный университет имени Витуса Беринга;;;83,69;75,14;78,51;77,90;84,48;85,26;
96;Северо-Кавказская государственная гуманитарно-технологическая академия;;;75,31;66,48;63,85;55,87;57,98;49,65;58,29
97;Карачаево-Черкесского государственного университета имени У.Д. Алиева;;;87,12;82,82;75,26;74,45;70,04;66,92;71,05
99;Кемеровский государственный университет;;;75,66;74,65;73,12;68,35;69,86;73,82;78,61
100;Кемеровский технологический институт пищевой промышленности;;;73,09;65,77;64,02;62,30;;;
101;Ковровская государственная технологическая академия имени В.А.Дегтярева;;;80,75;75,81;75,13;75,71;78,67;76,97;79,82
103;Комсомольский-на-Амуре государственный технический университет;;;63,35;57,22;67,85;68,51;81,21;84,07;86,39
104;Костромской государственный технологический университет.;;;63,59;55,41;67,07;64,83;67,77;70,18;78,62
105;Костромской государственный университет имени Н.А. Некрасова;;;78,78;;;;;;
106;Красноярский государственный педагогический университетим. В.П. Астафьева;;;74,26;70,53;70,46;69,17;67,47;67,89;70,42
108;Кубанский государственный технологический университет;;;44,44;41,89;36,72;38,05;40,62;40,89;46,94
109;Кубанский государственный университет;;;54,85;54,73;55,30;56,48;56,85;52,71;57,4
111;Кузбасский государственный технический университет имени Т.Ф.Горбачева;;;67,23;70,74;69,94;68,96;73,65;74,72;75,08
112;Курганский государственный университет;;;70,84;65,99;60,78;57,29;61,80;53,11;65,66
113;Юго-Западный государственный университет;;;45,90;41,01;39,23;36,65;37,47;46,18;52,62
114;Курский государственный университет;;;67,20;65,53;64,13;60,84;61,84;57,69;63,88
116;Липецкий государственный педагогический университет;;;85,35;83,28;83,15;77,35;79,27;76,59;80,87
117;Липецкий государственный технический университет;;;70,57;69,89;66,09;65,95;65,92;65,12;64,84
118;Литературный институт имени А.М. Горького;;;73,51;71,12;78,94;79,56;83,87;79,83;87,35
119;МАТИ - Российский государственный технологический университет имени К.Э. Циолковского;;;;;;;;;
120;Магнитогорский государственный технический университет им. Г.И. Носова;;;68,72;65,37;63,01;65,74;68,44;70,34;73,53
122;Майкопский государственный технологический университет;;;81,07;75,78;66,93;59,99;56,94;57,14;64,12
123;Поволжский государственный технологический университет;;;78,31;74,26;72,93;73,67;72,39;71,96;78,89
124;Марийский государственный университет;;;74,06;79,92;71,51;66,64;63,20;62,38;68,77
126;Мордовский государственный педагогический институт имени М.Е. Евсевьева;;;77,66;76,03;73,78;71,00;62,16;74,88;75,77
127;Мордовский государственный университет им. Н.П. Огарёва;;;70,67;64,08;68,63;65,73;65,09;61,91;61,85
129;Московский государственный университет тонких химических технологий имени М.В. Ломоносова;;;70,10;;;;;;
130;Московский государственный юридический университет имени О.Е. Кутафина;;;29,47;28,85;30,16;29,63;42,47;45,50;50,34
131;Московский авиационный институт (национальный исследовательский университет);;;62,97;61,21;65,16;59,60;61,77;66,07;69,96
132;Московский автомобильно-дорожный государственный технический университет (МАДИ);;;50,32;50,50;53,14;58,09;63,18;59,93;66,29
133;Московский архитектурный институт (государственная академия);;;47,31;46,88;35,33;33,46;41,67;38,50;43,88
134;МИРЭА - Российский технологический университет;;;53,38;61,29;57,81;60,37;58,31;60,40;78,62
136;Московский государственный горный университет;;;;;;;;;
137;Московский государственный гуманитарный университет имени М.А. Шолохова;;;;;;;;;
138;Московский государственный индустриальный университет;;;;;;;;;
140;Национальный исследовательский университет МИЭТ;;;63,92;55,00;52,06;58,91;54,95;45,50;49,86
141;Московский государственный лингвистический университет;;;42,32;41,35;56,23;59,65;61,57;56,01;59,74
143;Московский государственный гуманитарно-экономический университет;;;90,83;90,97;89,42;91,69;87,96;92,10;94,1
144;Московский государственный строительный университет;;;50,20;57,21;52,97;55,50;41,86;58,67;66,6
146;Московский государственный машиностроительный университет (МАМИ);;;63,73;;;;;;
147;Московский государственный технический университет имени Н.Э. Баумана;;;82,61;87,16;59,07;67,58;72,98;79,94;80,78
148;Московский государственный технологический университет СТАНКИН;;;57,23;53,89;75,01;70,22;79,67;77,25;86,2
149;Московский государственный университет экономики, статистики и информатики (МЭСИ);;;;;;;;;
150;Московский государственный университет геодезии и картографии (МИИГАиК);;;66,31;67,77;66,26;64,59;50,59;66,63;69,04
151;Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство);;;59,76;58,97;64,81;65,11;71,28;72,79;76,11
153;Московский государственный университет леса;;;84,09;;;;;;
154;Московский государственный университет печати имени Ивана Федорова;;;41,28;;;;;;
155;Московский государственный университет пищевых производств;;;67,22;;68,84;73,34;71,69;61,37;59,79
156;Московский государственный университет приборостроения и информатики;;;;;;;;;
158;Московский государственный университет технологий и управления имени К.Г.Разумовского;;;32,77;35,09;47,85;46,52;53,41;52,20;53,07
159;Московская государственная художественно-промышленная академия имени С.Г. Строганова;;;70,81;70,95;53,94;64,10;67,35;73,84;79
160;Московский педагогический государственный университет;;;69,38;59,38;61,82;64,91;65,80;63,42;63,6
161;Московский физико-технический институт (государственный университет);;;73,03;76,84;78,95;67,70;54,45;59,25;60,65
162;Национальный исследовательский университет МЭИ;;;58,88;59,47;61,37;57,45;55,46;60,96;63,82
163;Мурманский арктический государственный университет;;;79,30;80,83;70,16;77,89;74,89;76,69;75,67
164;Набережночелнинский институт социально-педагогических технологий и ресурсов;;;62,11;53,23;48,49;48,63;58,40;45,53;57,03
165;Национальный исследовательский ядерный университет МИФИ;;;63,18;64,56;66,83;62,61;63,01;57,57;58,81
166;Нижегородский  осударственный архитектурно-строительный университет;;;42,44;44,70;46,55;51,96;55,86;56,43;62,94
167;Нижегородский государственный лингвистический университет им. Н.А.Добролюбова;;;44,80;38,66;37,14;31,21;33,88;34,15;32,79
168;Нижегородский государственный педагогический университет имени Козьмы Минина (Мининский университет);;;66,64;59,94;56,16;54,45;56,22;58,44;58,7
169;Нижегородский государственный технический университет им. Р.Е. Алексеева;;;65,30;66,18;60,95;68,43;71,27;67,96;64,76
