miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;56,61;49,51;51,18;55,46;55,22;57,03;57,25;59,19
2;Алтайская государственная педагогическая академия;;57,91;55,11;54,7;56,27;56,33;58,31;60,58;61,29
3;Алтайский государственный технический университет им. И.И. Ползунова;;58,29;55,28;56,09;52,13;50,95;52,8;52,64;58,24
4;Алтайский государственный университет;;61,69;57,03;58,8;59,61;59,18;59,04;59,76;62,59
5;Амурский государственный университет;;53,45;50,29;53,55;55,14;54,21;54,96;54,81;60,16
6;Амурский гуманитарно-педагогический государственный университет;;49,88;46,64;56,39;53,52;49,21;52,22;53,33;64,3
7;Ангарская государственная техническая академия;;48,03;48,18;51;49,66;48,01;44,97;52,18;53,09
9;Армавирская государственная педагогическая академия;;59,07;53,67;65,1;60,05;56,93;56,6;55,23;59,92
11;Астраханский государственный университет;;60,64;54,94;56,37;59,28;61,96;60,69;61,7;64,13
12;Байкальский государственный университет экономики и права;;55,66;60,77;59,93;61,24;57,12;61,57;59,1;58,06
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;57,78;54,85;57,09;56,68;56,03;56,16;57,51;65,47
14;Башкирский государственный педагогический университет им. М. Акмуллы;;59,17;51,71;57,38;60,22;59,59;66,03;59,62;65,77
15;Башкирский государственный университет;;63,34;60,57;63,63;65,17;65,54;68,25;68,18;69,59
16;Белгородский государственный технологический университет им. В.Г. Шухова;;63,46;59,47;63,65;66,19;64,89;65,79;66,2;64,01
17;Белгородский государственный национальный исследовательский университет;;63,75;60,27;60,55;61,55;61,46;61,98;62,42;63,38
19;Алтайская государственная академия образования имени В.М. Шукшина;;46,75;51,4;55,3;59,55;51,75;52,02;50,06;54,07
21;Благовещенский государственный педагогический университет;;53,89;48,28;55,36;51,09;56,3;54,25;39,27;57,38
23;Братский государственный университет;;55,38;0;62,3;0;50,78;47,53;51,08;55,25
24;Брянская государственная инженерно-технологическая академия;;63,02;52,59;55,21;53,47;54,06;51,58;52,86;50,19
25;Брянский государственный технический университет;;61,51;54,01;56,05;54,91;56,76;56,28;53,5;57,28
26;Брянский государственный университет имени академика И.Г. Петровского.;;67,72;60,75;60,95;61,4;63,22;63,47;64,24;64,59
27;Бурятский государственный университет;;58,73;52,76;55,81;55,9;55,87;57,36;56,94;61,86
28;Владивостокский государственный университет экономики и сервиса;;57,74;57,27;56,75;55,75;56,12;58,36;57,68;58,65
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;58,05;53,07;57,79;58,43;57,92;60,82;59,76;61,86
33;Волгоградский государственный архитектурно-строительный университет;;56,59;51,61;;;;;;
34;Волгоградский государственный социально-педагогический университет;;60,19;59,15;;60,65;64,12;60,1;62,54;64,38
35;Волгоградский государственный технический университет;;57,69;52,34;53,52;50,74;50,88;51,45;55;56,68
36;Волгоградский государственный университет;;61,25;55,02;57,98;57,93;58,63;59,22;60,23;61,66
39;Вологодский государственный университет;;58,47;55,18;55,48;59,57;58,6;58,62;60,08;58,89
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;54,11;48,19;51,32;49,49;55,59;54,47;54,46;60,42
41;Воронежский государственный университет инженерных технологий;;60,22;53,11;53,54;56,38;52,72;53,27;54,3;58,49
42;Воронежский государственный архитектурно-строительный университет;;60,4;57,24;;;;;;
43;Воронежский государственный педагогический университет;;57,65;50,46;55,04;60,38;60,31;58,81;60,38;62,33
44;Воронежский государственный технический университет;;58,76;55,99;60,43;54,27;53,52;54,68;57,56;58,77
45;Воронежский государственный университет ;;67,09;60,75;63,75;64,1;63,85;64,21;63,99;66,11
46;Восточно-Сибирский государственный университет технологий и управления;;52,92;51,7;54,11;53,49;52,85;52,74;53,13;53,55
48;Высшая школа народных искусств (институт);;55;55,4;63,4;63,5;74,5;74;74,42;0
49;Вятский государственный гуманитарный университет;;55,16;54,78;;;;;;
50;Вятский государственный университет;;57,99;55,34;56,45;63,23;66,97;59,39;59,01;61,67
51;Гжельский государственный художественно-промышленный институт;;53,16;51,48;53,58;55,54;55,66;56,75;57,51;58,36
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;0;0;0;0;0;0;0;81,3
53;Горно-Алтайский государственный университет;;52,98;49,67;51,8;55,11;52,09;52,71;51,38;55,05
54;Государственная академия славянской культуры;;65,65;55,03;;;;;;
55;Государственная классическая академия имени Маймонида;;64,96;;;;;;;
56;Государственная полярная академия;;;62,33;;;;;;
57;Государственный академический университет гуманитарных наук;;59,82;56,25;68,29;68,25;66,97;65,05;71,8;69,47
58;Государственный институт русского языка им. А.С. Пушкина;;76,4;72,3;77;80;84,1;82;82;81,3
59;Национальный исследовательский технологический университет МИСиС;;65,24;60,82;65,24;66,82;67,8;66,03;67,18;69,57
60;Государтвенный университет управления;;62,44;53,79;65,67;63,57;64,36;64,04;66,11;69,15
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;53,92;46,43;47,48;48,08;50,71;48,42;50,51;56,44
62;Дагестанский государственный педагогический университет;;60,67;46,23;40,46;54,7;48,59;53,49;0;48
63;Дагестанский государственный технический университет;;54,68;43,73;50,73;49,4;49,97;49,28;50,44;47,31
64;Дагестанский государственный университет;;62,49;43,74;53,81;50,29;55,33;55,35;57,08;61,14
66;Приамурский государственный университет имени Шолом-Алейхема;;51,82;47,61;60,28;55,22;54,36;60,23;62,61;62,54
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;57,5;59,95;60,26;56,55;57,47;56,77;57,73;62,11
72;Елецкий государственный университет им. И.А. Бунина;;56,81;51,43;53,35;52,88;57,02;54,01;58,97;55
76;Ивановский государственный университет;;61,72;60,07;61,38;58,83;59,24;60,71;62,29;65,01
77;Ивановский государственный химико-технологический университет;;57,02;55,03;56,61;55,99;58,71;51,39;53,62;48,71
78;Ивановский государственный энергетический университет имени В.И. Ленина;;57,72;53,14;52,64;53,05;52,87;53,93;57,98;59,8
79;Ижевский государственный технический университет имени М.Т. Калашникова;;56,3;54,85;58,56;55,57;55,92;55,3;58,6;61,44
80;Ингушский государственный университет;;70,07;56,28;59,1;61,25;52,35;58,72;64,72;57,27
82;Иркутский национальный исследовательский технический университет;;54,52;49,34;50,73;50,94;50,62;55,39;54,39;58,56
83;Иркутский государственный университет;;59,54;56,21;59,03;64,17;59,98;58,59;59,29;62,41
85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;;67,64;52,98;53,09;60,52;57,64;56,64;63,46;64,13
86;Казанский государственный архитектурно-строительный университет;;59,87;57,82;58,21;59,25;58,68;65,16;65,11;70,28
87;Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ;;60,67;56,66;58,6;59,3;57,79;58,3;58,38;61,52
88;Казанский национальный исследовательский технологический университет;;58,5;54,06;54,35;55,4;54,12;56,08;57,64;60,41
91;Казанский государственный энергетический университет;;62,29;63,5;63,01;65,96;65,62;67,07;67,55;69,04
92;Калмыцкий государственный университет;;62,27;53,1;56,82;55,17;56,62;56,85;56,98;60,52
93;Калужский государственный университет им. К.Э. Циолковского;;60,95;56,37;58,88;61,61;61,91;61,71;61,55;64,38
95;Камчатский государственный университет имени Витуса Беринга;;63,77;56,62;58,28;55,33;53,28;51,3;49,6;
96;Северо-Кавказская государственная гуманитарно-технологическая академия;;64,7;47,78;50,02;50,66;50,94;52,11;53,95;58,35
97;Карачаево-Черкесского государственного университета имени У.Д. Алиева;;63;68;52,8;0;51;0;67;58
99;Кемеровский государственный университет;;61,75;58,61;61,16;61,59;63,09;62,96;65,08;63,72
100;Кемеровский технологический институт пищевой промышленности;;59,4;57,41;55,66;58,71;60,77;;;
101;Ковровская государственная технологическая академия имени В.А.Дегтярева;;53,15;51,14;56,19;56,51;55,55;56,02;51,71;63,36
103;Комсомольский-на-Амуре государственный технический университет;;52,39;52,82;54,12;51,94;49,2;44,25;55,6;0
104;Костромской государственный технологический университет.;;59,35;57,01;57,54;58;58,15;60,37;56,86;59,35
105;Костромской государственный университет имени Н.А. Некрасова;;60,36;58,98;;;;;;
106;Красноярский государственный педагогический университетим. В.П. Астафьева;;62,59;57,65;59,59;59,98;60,98;61,34;61,49;61,36
108;Кубанский государственный технологический университет;;57,52;56,34;61,56;61,87;61,54;61,09;62,34;58,99
109;Кубанский государственный университет;;66,59;62,88;65,25;66,24;66,51;66,55;67,77;68,9
111;Кузбасский государственный технический университет имени Т.Ф.Горбачева;;56,08;54,64;53,41;53,6;51,52;54,58;53,41;56,3
112;Курганский государственный университет;;55,37;51,33;55,36;55,25;54,85;54,47;55,25;57,47
113;Юго-Западный государственный университет;;59,63;58,52;56,52;56,85;57,56;56,96;57,33;57,39
114;Курский государственный университет;;62,22;56,05;57,48;59,66;60,31;59,58;59,38;63,25
116;Липецкий государственный педагогический университет;;54,2;53,8;54,5;60,15;57,13;57,8;59,83;61,3
117;Липецкий государственный технический университет;;57,32;55,3;56,83;57,1;58,14;54,52;54,93;61,08
118;Литературный институт имени А.М. Горького;;70;60;67;70;69;79;77,5;71,5
119;МАТИ - Российский государственный технологический университет имени К.Э. Циолковского;;57,67;;;;;;;
120;Магнитогорский государственный технический университет им. Г.И. Носова;;56,8;53,51;56,72;61,97;58,4;57,14;56,55;58,75
122;Майкопский государственный технологический университет;;58,66;49,82;50,33;53,1;56,05;56,13;54,35;58,31
123;Поволжский государственный технологический университет;;60,07;56,39;58,41;58,99;54,64;55,81;55,41;59,86
124;Марийский государственный университет;;62,06;63,09;64,95;61,48;63,17;63,17;62,48;63,1
126;Мордовский государственный педагогический институт имени М.Е. Евсевьева;;58,27;49,85;49,82;52,42;55,72;58,53;59,11;48
127;Мордовский государственный университет им. Н.П. Огарёва;;66,82;56,37;58,42;58,15;57,5;59,28;58,97;61,84
129;Московский государственный университет тонких химических технологий имени М.В. Ломоносова;;54,25;54,19;;;;;;
130;Московский государственный юридический университет имени О.Е. Кутафина;;80,79;69,95;70,05;67,7;67,3;70,13;69,39;72,22
131;Московский авиационный институт (национальный исследовательский университет);;60,36;55,49;55,87;57,72;61,78;65,4;70,5;71,74
132;Московский автомобильно-дорожный государственный технический университет (МАДИ);;63,51;57,87;56,64;55,29;54,55;55,38;56,47;60,32
133;Московский архитектурный институт (государственная академия);;71,3;70,68;70,18;71,73;70,9;73,6;76,08;75,76
134;МИРЭА - Российский технологический университет;;60,97;55,51;56,05;55,09;61,08;63,1;61,57;62,35
136;Московский государственный горный университет;;;;;;;;;
137;Московский государственный гуманитарный университет имени М.А. Шолохова;;64,76;;;;;;;
138;Московский государственный индустриальный университет;;56,58;;;;;;;
140;Национальный исследовательский университет МИЭТ;;62,5;56,6;61,86;60,89;60,44;62,55;63,02;64,93
141;Московский государственный лингвистический университет;;75,76;76,34;71,2;74,37;72,73;73,83;74,36;74,41
