miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;;1 335;1 355;1 359;1 350;1 350;1 323;1325
2;Алтайская государственная педагогическая академия;;;886;906;906;766;770;800;890
3;Алтайский государственный технический университет им. И.И. Ползунова;;;2 282;2 268;2 277;2 258;2 095;2 095;2134
4;Алтайский государственный университет;;;4 300;4 500;4 772;4 820;4 823;4 825;4793
5;Амурский государственный университет;;;1 259;1 270;1 310;1 356;1 447;1 625;1696
6;Амурский гуманитарно-педагогический государственный университет;;;548;546;531;509;511;520;515
7;Ангарская государственная техническая академия;;;494;637;573;550;562;662;655
9;Армавирская государственная педагогическая академия;;;448;548;586;542;534;542;541
11;Астраханский государственный университет;;;1 538;1 661;1 474;1 431;1 368;1 407;1523
12;Байкальский государственный университет экономики и права;;;1 882;1 739;1 763;1 749;1 704;1 858;2075
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;;1 113;1 511;1 800;1 782;1 530;1 100;1280
14;Башкирский государственный педагогический университет им. М. Акмуллы;;;1 022;991;1 114;1 198;1 202;1 247;1370
15;Башкирский государственный университет;;;2 851;2 877;2 986;3 136;3 071;3 132;3292
16;Белгородский государственный технологический университет им. В.Г. Шухова;;;4 019;4 153;4 302;4 350;4 514;4 520;4585
17;Белгородский государственный национальный исследовательский университет;;;3 545;3 739;4 111;4 475;4 125;3 850;4460
19;Алтайская государственная академия образования имени В.М. Шукшина;;;682;713;716;706;708;770;743
21;Благовещенский государственный педагогический университет;;;890;869;883;893;874;799;805
23;Братский государственный университет;;;1 584;1 310;1 577;1 567;1 432;1 422;1365
24;Брянская государственная инженерно-технологическая академия;;;736;776;570;883;860;580;621
25;Брянский государственный технический университет;;;1 295;1 348;1 465;1 509;1 551;1 634;1658
26;Брянский государственный университет имени академика И.Г. Петровского.;;;1 219;1 117;1 085;1 046;803;837;1030
27;Бурятский государственный университет;;;1 812;1 950;2 015;1 998;1 920;1 903;2004
28;Владивостокский государственный университет экономики и сервиса;;;3 924;3 486;2 935;2 755;2 625;2 651;2710
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;;3 057;3 129;3 109;3 281;3 311;3 420;3684
33;Волгоградский государственный архитектурно-строительный университет;;;954;;;;;;
34;Волгоградский государственный социально-педагогический университет;;;1 317;;1 440;1 540;1 540;1 480;1490
35;Волгоградский государственный технический университет;;;2 565;2 591;3 427;3 527;3 047;3 198;3299
36;Волгоградский государственный университет;;;1 807;2 034;2 121;1 941;1 886;2 002;2196
39;Вологодский государственный университет;;;2 685;2 763;2 866;2 981;2 358;2 323;2314
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;;865;907;916;865;733;864;938
41;Воронежский государственный университет инженерных технологий;;;1 043;1 020;986;1 026;1 049;1 082;1148
42;Воронежский государственный архитектурно-строительный университет;;;1 597;;;;;;
43;Воронежский государственный педагогический университет;;;1 075;1 094;1 100;1 119;1 327;1 378;1184
44;Воронежский государственный технический университет;;;1 489;1 555;2 822;2 840;2 620;2 518;2518
45;Воронежский государственный университет ;;;2 752;3 115;3 269;3 352;2 980;2 710;3244
46;Восточно-Сибирский государственный университет технологий и управления;;;2 125;2 177;1 858;1 728;1 677;1 735;1705
48;Высшая школа народных искусств (институт);;;102;109;139;142;142;142;142
49;Вятский государственный гуманитарный университет;;;1 530;;;;;;
50;Вятский государственный университет;;;2 236;3 826;4 000;3 852;3 774;3 719;3723
51;Гжельский государственный художественно-промышленный институт;;;271;271;291;321;361;346;346
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;;534;542;471;473;554;545;580
53;Горно-Алтайский государственный университет;;;739;742;858;839;839;887;898
54;Государственная академия славянской культуры;;;124;;;;;;
55;Государственная классическая академия имени Маймонида;;;;;;;;;
56;Государственная полярная академия;;;317;;;;;;
57;Государственный академический университет гуманитарных наук;;;309;366;391;351;360;444;465
58;Государственный институт русского языка им. А.С. Пушкина;;;472;555;525;567;549;544;532
59;Национальный исследовательский технологический университет МИСиС;;;4 100;4 150;4 329;4 423;4 645;4 966;5466
60;Государтвенный университет управления;;;1 907;2 156;1 916;850;2 007;2 156;2198
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;;1 314;1 360;1 395;1 648;1 698;1 510;1510
62;Дагестанский государственный педагогический университет;;;1 545;1 245;1 169;1 179;1 219;1 170;560
63;Дагестанский государственный технический университет;;;2 383;2 387;2 440;2 442;2 122;2 049;2124
64;Дагестанский государственный университет;;;1 941;1 761;1 746;1 662;1 602;1 598;1748
66;Приамурский государственный университет имени Шолом-Алейхема;;;1 120;1 211;1 161;1 137;669;608;586
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;;2 510;2 199;4 044;3 519;3 473;3 603;3503
72;Елецкий государственный университет им. И.А. Бунина;;;896;894;896;876;835;868;879
76;Ивановский государственный университет;;;1 108;1 142;1 314;944;915;891;858
77;Ивановский государственный химико-технологический университет;;;1 167;1 260;1 112;1 140;1 179;1 179;1200
78;Ивановский государственный энергетический университет имени В.И. Ленина;;;2 011;1 898;1 867;1 837;1 911;1 942;1886
79;Ижевский государственный технический университет имени М.Т. Калашникова;;;3 155;2 894;2 906;2 936;2 796;2 749;2717
80;Ингушский государственный университет;;;680;736;613;613;613;726;654
82;Иркутский национальный исследовательский технический университет;;;3 689;3 746;3 664;2 875;3 132;3 333;3420
83;Иркутский государственный университет;;;2 935;2 888;3 262;3 362;3 341;3 450;3400
85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;;;3 610;3 610;3 610;2 815;2 825;2 860;2814
86;Казанский государственный архитектурно-строительный университет;;;910;950;1 016;1 051;1 104;1 154;1284
87;Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ;;;4 086;4 154;4 304;4 318;4 726;5 003;5143
88;Казанский национальный исследовательский технологический университет;;;4 952;5 258;5 228;5 018;4 748;4 943;4912
91;Казанский государственный энергетический университет;;;1 353;1 465;1 468;1 696;1 798;1 819;1879
92;Калмыцкий государственный университет;;;1 095;1 129;1 078;1 128;1 173;1 278;1318
93;Калужский государственный университет им. К.Э. Циолковского;;;836;802;806;840;841;786;925
95;Камчатский государственный университет имени Витуса Беринга;;;328;621;449;499;464;429;
96;Северо-Кавказская государственная гуманитарно-технологическая академия;;;833;893;931;921;977;977;1028
97;Карачаево-Черкесского государственного университета имени У.Д. Алиева;;;614;614;634;699;604;667;739
99;Кемеровский государственный университет;;;1 367;1 519;1 511;1 314;2 157;1 899;1706
100;Кемеровский технологический институт пищевой промышленности;;;702;641;711;843;;;
101;Ковровская государственная технологическая академия имени В.А.Дегтярева;;;569;651;651;569;555;561;606
103;Комсомольский-на-Амуре государственный технический университет;;;1 606;1 651;1 584;1 494;1 444;1 487;1620
104;Костромской государственный технологический университет.;;;1 056;1 109;1 905;1 994;1 994;2 053;2094
105;Костромской государственный университет имени Н.А. Некрасова;;;920;;;;;;
106;Красноярский государственный педагогический университетим. В.П. Астафьева;;;2 003;2 327;1 962;1 980;1 980;1 986;1821
108;Кубанский государственный технологический университет;;;2 597;2 602;2 623;2 478;2 240;2 294;2318
109;Кубанский государственный университет;;;2 984;3 278;3 491;3 489;3 493;3 353;3409
111;Кузбасский государственный технический университет имени Т.Ф.Горбачева;;;792;769;831;849;831;643;813
112;Курганский государственный университет;;;1 903;1 788;1 689;1 438;1 645;1 702;1716
113;Юго-Западный государственный университет;;;1 940;1 724;1 750;1 826;1 917;1 822;1823
114;Курский государственный университет;;;1 600;1 696;1 627;1 711;1 715;1 713;1872
116;Липецкий государственный педагогический университет;;;792;882;1 024;1 030;900;1 057;1102
117;Липецкий государственный технический университет;;;1 264;1 220;1 141;1 108;1 124;1 199;1264
118;Литературный институт имени А.М. Горького;;;96;96;65;72;72;93;108
119;МАТИ - Российский государственный технологический университет имени К.Э. Циолковского;;;;;;;;;
120;Магнитогорский государственный технический университет им. Г.И. Носова;;;4 011;3 973;3 983;3 627;3 816;3 610;3993
122;Майкопский государственный технологический университет;;;545;470;485;507;486;557;826
123;Поволжский государственный технологический университет;;;2 406;2 377;2 439;2 431;2 495;2 501;2419
124;Марийский государственный университет;;;1 547;1 692;1 651;1 741;1 615;1 619;1524
126;Мордовский государственный педагогический институт имени М.Е. Евсевьева;;;1 371;1 347;1 387;1 411;1 441;1 491;1545
127;Мордовский государственный университет им. Н.П. Огарёва;;;4 490;4 571;4 556;4 708;4 556;4 526;4514
129;Московский государственный университет тонких химических технологий имени М.В. Ломоносова;;;860;;;;;;
130;Московский государственный юридический университет имени О.Е. Кутафина;;;1 020;920;960;1 010;833;749;1470
131;Московский авиационный институт (национальный исследовательский университет);;;4 315;6 749;5 171;4 315;4 320;4 620;4610
132;Московский автомобильно-дорожный государственный технический университет (МАДИ);;;1 768;2 006;2 026;2 002;2 072;2 093;2391
133;Московский архитектурный институт (государственная академия);;;801;142;533;542;472;473;500
134;МИРЭА - Российский технологический университет;;;2 231;6 249;5 246;5 803;5 445;6 698;7459
136;Московский государственный горный университет;;;;;;;;;
137;Московский государственный гуманитарный университет имени М.А. Шолохова;;;;;;;;;
138;Московский государственный индустриальный университет;;;;;;;;;
140;Национальный исследовательский университет МИЭТ;;;3 739;3 720;3 328;3 415;3 555;3 574;3574
141;Московский государственный лингвистический университет;;;5 378;1 005;1 437;1 455;1 194;1 127;1132
143;Московский государственный гуманитарно-экономический университет;;;230;235;237;246;246;284;258
144;Московский государственный строительный университет;;;3 511;3 382;3 465;3 566;3 685;3 500;4465
146;Московский государственный машиностроительный университет (МАМИ);;;3 296;;;;;;
147;Московский государственный технический университет имени Н.Э. Баумана;;;8 070;8 250;8 452;8 464;8 515;8 748;8755
148;Московский государственный технологический университет СТАНКИН;;;1 748;1 660;1 549;1 419;1 469;1 174;1174
149;Московский государственный университет экономики, статистики и информатики (МЭСИ);;;;;;;;;
150;Московский государственный университет геодезии и картографии (МИИГАиК);;;1 213;1 284;1 285;1 285;1 295;1 295;1295
151;Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство);;;1 456;1 424;2 168;2 539;2 717;1 810;2833
153;Московский государственный университет леса;;;1 650;;;;;;
154;Московский государственный университет печати имени Ивана Федорова;;;1 228;;;;;;
