miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;0;1,15;1,96;2,68;3,69;7,61;8,1;7,17;8,03
2;Алтайская государственная педагогическая академия;5,23;6,69;7,61;10,88;12,75;11,17;10,32;10,81;11,45
3;Алтайский государственный технический университет им. И.И. Ползунова;3,78;4,41;5,31;8,47;11,03;12,48;12,44;12,05;11,2
4;Алтайский государственный университет;13,52;13,99;15,86;19,01;19,03;18,78;18,62;17,49;16,85
5;Амурский государственный университет;2,49;2,81;3,91;7,21;9,6;10,52;11,44;11,87;11,98
6;Амурский гуманитарно-педагогический государственный университет;1,02;1,1;1,45;4,2;7,26;4,2;2,19;2,74;3,04
7;Ангарская государственная техническая академия;2,07;5,56;9,64;12,33;14,67;15,79;17,57;18,31;17,17
9;Армавирская государственная педагогическая академия;3,86;3,99;4,19;7,17;7,67;6,94;7,15;6,73;7,7
11;Астраханский государственный университет;13,57;15,48;14,89;18,51;19,47;15,93;13,22;12,16;11,36
12;Байкальский государственный университет экономики и права;6,92;7,48;9,61;16,96;17,21;12,92;13,37;14,58;13,51
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;3,26;3,38;3,86;4,67;6,25;7,6;7,45;7,12;6,29
14;Башкирский государственный педагогический университет им. М. Акмуллы;5,71;6,43;7,06;10,07;12,34;12,39;12,99;13,16;14,04
15;Башкирский государственный университет;7,48;7,9;8,61;12,88;15,99;16,21;16,13;15,77;14,99
16;Белгородский государственный технологический университет им. В.Г. Шухова;1,99;3,42;4,28;6,99;10,11;12,23;14,49;14,29;14,21
17;Белгородский государственный национальный исследовательский университет;5,74;4,96;4,84;7,21;9,65;11,12;11,54;16,19;9,17
19;Алтайская государственная академия образования имени В.М. Шукшина;1,15;1,61;1,42;3,2;5,5;3,56;3,31;4,3;4,14
21;Благовещенский государственный педагогический университет;0,04;1,14;1,34;4,35;5,87;6,53;7,81;8,45;8,06
23;Братский государственный университет;5,86;7,52;7,73;9,38;13,17;16,21;17,66;17,99;16,01
24;Брянская государственная инженерно-технологическая академия;1,04;0,59;0,17;7,21;14,24;13,72;13,64;12,41;13,74
25;Брянский государственный технический университет;1,87;2,18;2,22;6,88;9,97;11,8;14,25;13,87;12,36
26;Брянский государственный университет имени академика И.Г. Петровского.;3,11;3,12;2,76;6,52;9,29;9,98;10,49;10,3;8,62
27;Бурятский государственный университет;7,17;8,21;9,26;12,66;15,34;14,55;14,71;13,34;11,86
28;Владивостокский государственный университет экономики и сервиса;3,39;3,74;4,81;7,16;8,07;5,93;3,74;3,31;4,52
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;7,4;7,75;7,96;10,36;12,4;12,89;13,82;14,05;13,18
33;Волгоградский государственный архитектурно-строительный университет;1,64;1,51;1,71;;;;;;
34;Волгоградский государственный социально-педагогический университет;8,98;10,09;11,15;;13,56;12,31;11,93;10,86;10,07
35;Волгоградский государственный технический университет;9,16;10,7;10,79;13,27;14,03;14,84;14,21;13,84;13,74
36;Волгоградский государственный университет;13,2;11,67;10,65;12,66;15,2;15,51;14,86;14,2;13,55
39;Вологодский государственный университет;3,64;4,11;3,01;5,27;8,17;7,63;8,36;9;9,09
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;0,38;1,15;2,06;6,01;8,87;7,46;7,44;8,57;9,79
41;Воронежский государственный университет инженерных технологий;1,21;2,35;3,19;11,62;17,08;15,05;14,91;16,98;16,27
42;Воронежский государственный архитектурно-строительный университет;7,86;8,32;8,72;;;;;;
43;Воронежский государственный педагогический университет;6,56;6,23;4,79;4,54;5,37;5,86;6,6;6,93;7,45
44;Воронежский государственный технический университет;3,15;3,91;4,17;8,06;16,34;17,88;19,33;19,4;18,05
45;Воронежский государственный университет ;8,52;8,23;8,05;13,24;16,91;17,26;16,51;14,63;13,11
46;Восточно-Сибирский государственный университет технологий и управления;1,86;1,82;1,64;4,56;6,49;7,4;8,27;7,86;8,18
48;Высшая школа народных искусств (институт);0;0;0;0;0,99;0,98;0,97;1,1;3,13
49;Вятский государственный гуманитарный университет;3,85;5,2;5,71;;;;;;
50;Вятский государственный университет;1,49;2,83;4,69;9,5;11,55;11,64;12,8;12,51;11,47
51;Гжельский государственный художественно-промышленный институт;0;1,1;1,92;4,04;4,81;4,36;7,08;10,11;12,83
52;Глазовский государственный педагогический институт имени В.Г. Короленко;2,57;3,66;2,95;2,83;2,87;2,85;2,96;3,08;2,98
53;Горно-Алтайский государственный университет;3,25;5,32;6,66;7,77;9,26;11,57;12,72;12,57;11,27
54;Государственная академия славянской культуры;0;0;0;;;;;;
55;Государственная классическая академия имени Маймонида;3;4,67;;;;;;;
56;Государственная полярная академия;;;2,49;;;;;;
57;Государственный академический университет гуманитарных наук;6,47;14,14;17,34;16,57;19,36;17,03;12,27;11,56;9,74
58;Государственный институт русского языка им. А.С. Пушкина;24,48;28,38;29,57;31,42;34,23;34,53;31,66;32,42;31,69
59;Национальный исследовательский технологический университет МИСиС;13,72;15,43;9,79;17,07;22,69;24,23;25,79;25,26;23,29
60;Государтвенный университет управления;4,06;4,59;3,04;10,01;16,38;14,1;12,65;10,86;8,5
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;0,2;0,54;0,39;0,45;1,21;2,39;3,14;3,6;4,34
62;Дагестанский государственный педагогический университет;6,41;7,23;7,92;10,28;10,89;9,93;9,61;9,65;9,42
63;Дагестанский государственный технический университет;4,92;5,78;5,7;8,61;13,06;15,75;17,96;18,51;16,51
64;Дагестанский государственный университет;5,98;7,59;8,97;15,2;17,59;17,82;18,4;17,31;16,05
66;Приамурский государственный университет имени Шолом-Алейхема;8,6;8,92;8,99;10,34;12,5;15,44;19,06;18,09;15,91
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;2,97;2,73;3,65;6,14;10;11,35;13,21;13,59;12,68
72;Елецкий государственный университет им. И.А. Бунина;8,85;7,41;4,35;8,54;14,71;16,7;17,29;16,38;14,63
76;Ивановский государственный университет;4,72;4,74;6,61;11,47;14,17;15,36;15,16;13,57;10,91
77;Ивановский государственный химико-технологический университет;5,72;4,36;4,67;9,29;12,03;13,27;13,67;12,02;11,31
78;Ивановский государственный энергетический университет имени В.И. Ленина;1,59;2,08;2,44;8,49;13,85;12,84;12,69;12,58;11,31
79;Ижевский государственный технический университет имени М.Т. Калашникова;13,93;14,39;14,87;14,75;15,37;14,58;15,46;15,57;15,3
80;Ингушский государственный университет;5,61;6,42;8,03;11,78;13,14;12,68;12,79;11,94;9,95
82;Иркутский национальный исследовательский технический университет;8,54;9,3;9,57;12,93;15,85;16,29;16,47;18,02;17,8
83;Иркутский государственный университет;2,08;3,68;5,45;9,03;10,93;11,99;12,94;11,85;11,37
85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;8,52;9,31;10,83;15,54;18,87;17,81;16,33;14,4;11,44
86;Казанский государственный архитектурно-строительный университет;1,03;1,99;2,23;8,74;15,7;18,21;16,92;15,1;13,8
87;Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ;7,5;10,04;11,8;13,53;14,38;15,74;17,53;17,92;16,87
88;Казанский национальный исследовательский технологический университет;12,31;13,19;14,26;22,9;27,81;28,85;30,84;31,09;30,25
91;Казанский государственный энергетический университет;14,97;14,51;14,7;18,24;18,61;16,96;17,06;17,34;16,36
92;Калмыцкий государственный университет;4,81;6,59;8,6;14,97;20,43;23,19;23,26;20,32;18,06
93;Калужский государственный университет им. К.Э. Циолковского;0,93;1,06;1,27;2,94;4,82;5,77;5,38;5,09;4,83
95;Камчатский государственный университет имени Витуса Беринга;2,17;4,48;4,51;3,49;2,64;6,36;7,05;12,25;
96;Северо-Кавказская государственная гуманитарно-технологическая академия;0;0;0;2,12;3,52;3,44;3,12;2,9;3,11
97;Карачаево-Черкесского государственного университета имени У.Д. Алиева;4,9;7,06;9,24;11,95;12,97;11,71;10,7;10,47;9,17
99;Кемеровский государственный университет;8,39;8,46;9,19;14,08;17,19;17,81;19,11;18,69;16,34
100;Кемеровский технологический институт пищевой промышленности;2,23;3,77;5,28;7,72;13,63;17,98;;;
101;Ковровская государственная технологическая академия имени В.А.Дегтярева;1,44;1,98;2,04;5,26;8,73;8;9,49;8,03;6,89
103;Комсомольский-на-Амуре государственный технический университет;4,08;4,87;5,7;7,21;10,29;12,3;13,52;13,94;12,46
104;Костромской государственный технологический университет.;1,52;3,78;5,13;9,7;10,87;11,98;12,73;11,97;9,87
105;Костромской государственный университет имени Н.А. Некрасова;2,18;2,97;4,22;;;;;;
106;Красноярский государственный педагогический университетим. В.П. Астафьева;5,05;5,53;7,19;10,41;10,9;9,32;9,56;10,24;10,3
108;Кубанский государственный технологический университет;2,3;3,03;4,2;7,22;9,67;10,54;11,65;12,36;12,06
109;Кубанский государственный университет;9,97;9,43;10,83;14,35;16,06;16,13;14,63;12,95;12,02
111;Кузбасский государственный технический университет имени Т.Ф.Горбачева;1,09;2,94;2,91;4,66;7,52;11,78;10,16;10,42;9,52
112;Курганский государственный университет;0,18;0,6;0,72;2,37;4,85;6,61;7,71;8,29;8,55
113;Юго-Западный государственный университет;7,7;7,87;8,19;11,47;14,83;14,58;14,48;15,71;14,58
114;Курский государственный университет;8,88;8,87;7,73;10,96;13,47;12,92;13,44;13,04;14,4
116;Липецкий государственный педагогический университет;0;0;0;0;1,22;2,78;4,77;5,07;4,46
117;Липецкий государственный технический университет;2,67;2,82;2,45;8,15;14,32;16,24;17,19;16,1;14,84
118;Литературный институт имени А.М. Горького;0;0;0;0;0;0;0;0;0
119;МАТИ - Российский государственный технологический университет имени К.Э. Циолковского;12,79;12,05;;;;;;;
120;Магнитогорский государственный технический университет им. Г.И. Носова;4,49;6,32;8,05;11,05;12,28;13,44;14,25;14,05;13,26
122;Майкопский государственный технологический университет;0;0;0;0,47;0,9;1,06;1,41;1,7;3,31
123;Поволжский государственный технологический университет;9,14;12,36;13,41;18,78;21,54;23,3;25,55;24,16;21,49
124;Марийский государственный университет;1,22;1,95;1,84;4,59;10,12;12,09;11,61;10,71;9,17
126;Мордовский государственный педагогический институт имени М.Е. Евсевьева;1,49;1,89;2,45;4,2;6,66;6,77;5,98;6,16;6,35
127;Мордовский государственный университет им. Н.П. Огарёва;3,27;3,62;4,2;7,24;9,96;10,62;10,25;9,78;9,23
129;Московский государственный университет тонких химических технологий имени М.В. Ломоносова;15,61;15,24;14,51;;;;;;
130;Московский государственный юридический университет имени О.Е. Кутафина;6,05;6,06;7,83;11,99;16,9;19,73;19,19;18,3;14,65
131;Московский авиационный институт (национальный исследовательский университет);1,86;3,11;3,11;7,41;11,52;13,21;14,15;14,19;14,09
132;Московский автомобильно-дорожный государственный технический университет (МАДИ);2,24;3,25;3,32;7,04;10,26;9,81;9,86;10,23;9,27
133;Московский архитектурный институт (государственная академия);2,09;4,02;5,59;6,28;12,24;16,05;15;15;14,88
134;МИРЭА - Российский технологический университет;6,76;7,69;7,99;8,66;12,12;11,49;11,06;10,55;9,83
136;Московский государственный горный университет;2,6;;;;;;;;
137;Московский государственный гуманитарный университет имени М.А. Шолохова;8,97;10,88;;;;;;;
138;Московский государственный индустриальный университет;1,66;2,09;;;;;;;
140;Национальный исследовательский университет МИЭТ;9,32;13,13;15,27;18,61;19,47;20,43;21,29;19,66;18,06
141;Московский государственный лингвистический университет;1,32;2,92;4,39;9,46;14,28;13,32;11,2;10,1;10,17
143;Московский государственный гуманитарно-экономический университет;0,45;2,65;2,35;4,31;5,85;7,06;14,4;16,53;12,26
144;Московский государственный строительный университет;4,02;4,75;5,56;11,61;15,78;16,08;17,4;18,58;18,14
146;Московский государственный машиностроительный университет (МАМИ);3,19;2,13;2,49;;;;;;
147;Московский государственный технический университет имени Н.Э. Баумана;2,1;2,37;3,3;7,54;11,17;11,58;11,75;11,15;10,75
148;Московский государственный технологический университет СТАНКИН;7,17;9,74;10,46;18,17;22,55;26,24;27,61;27;25,05
149;Московский государственный университет экономики, статистики и информатики (МЭСИ);2,49;3,37;;;;;;;
150;Московский государственный университет геодезии и картографии (МИИГАиК);4,05;4,25;6,36;11,45;15,23;13,95;13,72;12,23;11,5
151;Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство);3,11;4,97;5,59;10,42;13,07;14,99;16,74;15,45;13,34
153;Московский государственный университет леса;7,64;6,94;7,13;;;;;;
154;Московский государственный университет печати имени Ивана Федорова;3,24;3,14;3,48;;;;;;
155;Московский государственный университет пищевых производств;2,32;2,41;3,05;;8,02;15,4;15,56;12,67;12,63
156;Московский государственный университет приборостроения и информатики;1,59;3,27;;;;;;;
158;Московский государственный университет технологий и управления имени К.Г.Разумовского;1,09;1,69;1,78;2,87;3,48;3,43;3,42;8,38;9,68
159;Московская государственная художественно-промышленная академия имени С.Г. Строганова;1;1,11;1,15;2,99;6,78;8,18;10,14;11,97;12,94
160;Московский педагогический государственный университет;9,51;11,2;11,36;14,3;18,42;21,18;22;21,13;18,32
161;Московский физико-технический институт (государственный университет);30,45;29,44;29,3;29,82;30,78;31,15;30,53;30,22;30,66
162;Национальный исследовательский университет МЭИ;12,83;13,79;13,85;17,16;19,56;21,48;21,98;20,04;18,52
163;Мурманский арктический государственный университет;3,63;5,38;4,24;10,5;11,65;11,13;11,86;9,96;6,22
164;Набережночелнинский институт социально-педагогических технологий и ресурсов;0;0;0,28;4,77;4,01;1,76;1,75;4,11;4,95
165;Национальный исследовательский ядерный университет МИФИ;4,8;7,75;11,56;18,59;26,93;29,8;27,73;26,65;25,14
166;Нижегородский  осударственный архитектурно-строительный университет;3,47;3,29;3,65;6,18;8,47;10,35;11,36;10,92;10,45
167;Нижегородский государственный лингвистический университет им. Н.А.Добролюбова;0;1,6;2,25;3;4,97;5,82;6,49;6,31;6,53
168;Нижегородский государственный педагогический университет имени Козьмы Минина (Мининский университет);2,61;3,44;4,34;5,57;8,75;12,52;15,33;16,09;17,03
169;Нижегородский государственный технический университет им. Р.Е. Алексеева;8,72;8,79;8,88;12,54;17,38;18,53;19,04;17,53;17,46
170;Нижегородский государственный университет им. Н.И.Лобачевского;7,03;7,17;8,08;12,42;15,15;15,27;14,38;12,4;11,69
172;Нижнетагильская государственная социально-педагогическая академия;;;;;;;;;
173;Новгородский государственный университет имени Ярослава Мудрого.;2,52;2,68;3,46;4,98;5,85;5,58;4,96;5,45;4,77
174;Новосибирская государственная архитектурно-художественная академия;4,06;3,28;3,52;3,45;4,61;6,13;6,81;6,29;8,5
175;Новосибирский государственный архитектурно-строительный университет (Сибстрин);1,68;1,77;1,81;5,95;9,37;9,27;8,98;8,34;8,2
176;Новосибирский государственный педагогический университет;3,22;2,15;2,29;4,36;6,36;7,42;8,15;8,69;9,65
177;Новосибирский государственный технический университет;7,32;10,3;11,92;14,4;15,65;15,94;16,1;14,15;13,52
178;Новосибирский национальный исследовательский государственный университет;14,97;14,97;14,09;17,07;18,04;17,89;16,83;16,35;16,05
179;Новосибирский государственный университет экономики и управления НИНХ;2,83;3,21;3,66;7,32;9,37;7,72;5,29;5,3;8,45
180;Норильский индустриальный институт;0;0;0;0;0;0;0;0;0
181;Омский государственный институт сервиса;4,94;5,65;4,79;;;;;;
182;Омский государственный педагогичесий университет;12,07;13,35;14,52;19;18,36;17,27;17,71;17,87;17,54
183;Омский государственный технический университет;8,71;9,46;9,62;12,52;14,71;16,65;18,97;18,87;16,39
184;Омский государственный университет им. Ф.М. Достоевского;5,68;5,73;6,35;9,48;12,6;14,47;14,95;13,74;10,8
185;Оренбургский государственный институт менеджмента;2,89;2,08;;;;;;;
186;Оренбургский государственный педагогический университет;0,46;0,97;1,87;5,63;8,77;8,42;8,5;7,04;5,56
187;Оренбургский государственный университет;5,3;6,12;6,54;11,68;14,84;15,09;14,92;13,87;12,99
189;Орловский государственный институт экономики и торговли;4,48;4,44;7,47;19,45;18,83;11,3;8,78;5,76;9,57
190;Государственный университет-учебно-научно-производственный комплекс;6,15;6,24;5,17;;;;;;
