miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;;18,05;22,06;14,18;20,98;76,47;103,10;65,38
2;Алтайская государственная педагогическая академия;;;29,40;40,59;31,83;36,67;103,42;57,31;115,83
3;Алтайский государственный технический университет им. И.И. Ползунова;;;94,47;68,66;94,58;119,69;82,07;96,15;90,36
4;Алтайский государственный университет;;;59,00;60,73;88,16;67,75;60,41;74,28;81,17
5;Амурский государственный университет;;;25,09;27,09;27,88;27,18;49,99;59,40;53,59
6;Амурский гуманитарно-педагогический государственный университет;;;32,55;49,78;28,54;64,80;84,50;95,48;0
7;Ангарская государственная техническая академия;;;0,00;0,00;0,00;0,00;0,00;0,00;109,25
9;Армавирская государственная педагогическая академия;;;9,62;40,14;43,82;48,32;65,60;76,85;90,25
11;Астраханский государственный университет;;;35,12;40,15;39,02;35,21;57,17;65,70;60,89
12;Байкальский государственный университет экономики и права;;;91,85;40,72;55,09;172,44;100,45;100,07;136,96
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;;49,72;62,10;91,63;79,31;88,75;98,99;96,69
14;Башкирский государственный педагогический университет им. М. Акмуллы;;;42,25;34,49;45,69;48,60;58,75;0,00;69,58
15;Башкирский государственный университет;;;58,85;51,31;42,75;61,53;71,06;62,20;75,56
16;Белгородский государственный технологический университет им. В.Г. Шухова;;;46,64;38,19;39,51;51,50;59,90;62,92;72,56
17;Белгородский государственный национальный исследовательский университет;;;71,95;71,06;87,23;120,56;116,04;158,31;168,17
19;Алтайская государственная академия образования имени В.М. Шукшина;;;36,48;62,93;54,74;39,07;47,45;51,25;89,93
21;Благовещенский государственный педагогический университет;;;0,00;71,88;8,53;12,33;0,00;0,00;0
23;Братский государственный университет;;;49,83;45,76;43,59;47,70;47,74;55,33;61,45
24;Брянская государственная инженерно-технологическая академия;;;22,74;53,02;18,64;41,70;51,93;51,30;55,71
25;Брянский государственный технический университет;;;20,71;35,52;38,02;51,73;69,02;76,99;68,58
26;Брянский государственный университет имени академика И.Г. Петровского.;;;56,30;30,27;44,36;39,09;55,37;42,03;34,33
27;Бурятский государственный университет;;;35,21;47,94;52,72;48,09;63,09;70,47;72,09
28;Владивостокский государственный университет экономики и сервиса;;;41,05;74,17;75,09;69,12;101,98;97,23;109,22
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;;49,23;46,98;55,87;54,28;68,68;69,12;74,83
33;Волгоградский государственный архитектурно-строительный университет;;;0,00;;;;;;
34;Волгоградский государственный социально-педагогический университет;;;10,41;;34,58;61,88;82,65;96,99;78,57
35;Волгоградский государственный технический университет;;;48,27;64,31;108,09;95,21;109,29;78,79;82,09
36;Волгоградский государственный университет;;;42,14;41,63;40,72;46,37;63,74;83,56;93,92
39;Вологодский государственный университет;;;37,70;57,34;97,13;122,70;129,32;123,60;166
