miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;1,55;5,83;9,1;7,16;10,39;10,1;16;23,26
2;Алтайская государственная педагогическая академия;;0,71;1,17;1,28;1,58;1,53;1,79;1,83;2,1
3;Алтайский государственный технический университет им. И.И. Ползунова;;2,21;3,48;3,66;2,87;3,61;3,86;4,6;4,17
4;Алтайский государственный университет;;1,96;1,25;1,81;3,68;7,01;6,81;7,47;8,86
5;Амурский государственный университет;;0,73;0,71;0,61;1,38;1,7;1,78;2,94;2,57
6;Амурский гуманитарно-педагогический государственный университет;;4,92;1,81;0,98;1,01;0,07;0,03;1,79;2,54
7;Ангарская государственная техническая академия;;0;0;0;0;0;0;0;0,05
9;Армавирская государственная педагогическая академия;;0;0;1,62;2,35;3,42;3,36;6,9;11,13
11;Астраханский государственный университет;;3,31;3,65;7,3;8,2;8,16;8,22;11,09;16,17
12;Байкальский государственный университет экономики и права;;1,65;3,89;2,12;1,85;2,3;2,47;4,47;3,91
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;4,85;4,82;12,33;20,61;8,77;9,57;9,5;9,46
14;Башкирский государственный педагогический университет им. М. Акмуллы;;0,08;0,58;1,37;2,67;5,11;3,32;2,73;1,59
15;Башкирский государственный университет;;1,43;2,42;1,29;1,76;1,84;1,17;2,59;2,9
16;Белгородский государственный технологический университет им. В.Г. Шухова;;3,11;4,83;7,47;10,16;9,44;9,36;10,35;10,77
17;Белгородский государственный национальный исследовательский университет;;3,95;4,39;5,08;7,43;8,5;15,39;22,39;23,44
19;Алтайская государственная академия образования имени В.М. Шукшина;;0,02;0,19;0,24;2,46;1,65;3,36;3,87;5,91
21;Благовещенский государственный педагогический университет;;7,76;18,43;5,2;11,24;9,96;6,22;12,8;26,27
23;Братский государственный университет;;0,71;0,33;0,44;2,68;0,86;7,12;3,95;4,49
24;Брянская государственная инженерно-технологическая академия;;1,62;1,19;2,3;1,92;2,22;1,9;2,34;0,81
25;Брянский государственный технический университет;;0,84;1,13;0,91;0,98;1,46;2,26;3,24;3,98
26;Брянский государственный университет имени академика И.Г. Петровского.;;1,11;1,48;1,73;2,96;2,21;6,53;1,94;0,79
27;Бурятский государственный университет;;1,37;1,35;1,42;1,93;4,8;2,01;2,62;3,62
28;Владивостокский государственный университет экономики и сервиса;;4,92;6,3;9,88;9,62;6,48;11,34;10,66;13,28
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;2,13;2,27;3,22;3,07;3,48;3,1;4,23;4,67
33;Волгоградский государственный архитектурно-строительный университет;;2,7;2,59;;;;;;
34;Волгоградский государственный социально-педагогический университет;;2,32;3,73;;5,41;4,21;7,88;5,78;5,26
35;Волгоградский государственный технический университет;;3,94;4,28;5,2;4,49;6,21;6,2;6,66;6,35
36;Волгоградский государственный университет;;0,9;1,54;2,21;1,22;2,31;3,27;2,59;3,67
39;Вологодский государственный университет;;0,36;0,36;0,35;0,19;0,23;0,16;0,69;0,44
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;5,99;10,2;13,77;13,65;15,57;13,16;25,56;24,07
41;Воронежский государственный университет инженерных технологий;;2,99;4,69;6,64;5,25;7,19;7,18;10,86;11,2
42;Воронежский государственный архитектурно-строительный университет;;2,82;3,75;;;;;;
43;Воронежский государственный педагогический университет;;1,63;1,7;1,67;1,95;2,89;4,35;4,1;7,28
44;Воронежский государственный технический университет;;0;0,7;0,22;3,84;4,51;4,28;3,14;4,1
45;Воронежский государственный университет ;;4,24;3,14;4,12;10,03;5,09;4,03;4,65;3,27
46;Восточно-Сибирский государственный университет технологий и управления;;6,94;6,43;4,31;3,43;4,39;4,75;3,26;3,9
48;Высшая школа народных искусств (институт);;0;0;3,06;0;0;0;10,71;5,26
49;Вятский государственный гуманитарный университет;;0,77;0,92;;;;;;
50;Вятский государственный университет;;0,21;1,36;0,68;1,76;1,72;1,61;2,28;1,76
51;Гжельский государственный художественно-промышленный институт;;1,94;1,48;1,23;1,1;1,07;4,47;7,62;8,91
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;0,3;0,3;0,38;0;1,04;0;1,31;1,51
53;Горно-Алтайский государственный университет;;0,13;1,41;6,44;3,53;6,64;8,1;6,56;4,03
54;Государственная академия славянской культуры;;3,26;3,75;;;;;;
55;Государственная классическая академия имени Маймонида;;0,83;;;;;;;
56;Государственная полярная академия;;;5,03;;;;;;
57;Государственный академический университет гуманитарных наук;;1,13;1,73;1,4;1,44;3,11;2,02;3,18;2,32
58;Государственный институт русского языка им. А.С. Пушкина;;23,97;24,63;17,42;44,22;34,03;36,24;37,99;35,03
59;Национальный исследовательский технологический университет МИСиС;;9,92;8,99;10,1;12,71;18,27;22,49;23,33;28,24
60;Государтвенный университет управления;;2,06;2,64;4,49;3,97;5,51;5,39;4,85;5,48
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;0,1;0,49;0,06;0,14;0,1;0,03;0,29;0,38
62;Дагестанский государственный педагогический университет;;0,93;0,61;1,18;1,39;0,99;1,22;1,98;2,62
63;Дагестанский государственный технический университет;;0,49;1,3;0,54;0,33;0,25;0,99;1,88;1,93
64;Дагестанский государственный университет;;1,07;1,94;1,09;1,3;0,86;1,16;1,32;1,05
66;Приамурский государственный университет имени Шолом-Алейхема;;0,91;0,92;0,22;0,97;4,08;9,89;5,63;5,16
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;1,55;2,42;2,66;6,02;3,73;9,56;11,21;8,79
72;Елецкий государственный университет им. И.А. Бунина;;0,8;1,9;3,67;3,36;1,31;1,56;0,62;1,27
76;Ивановский государственный университет;;4,85;6,19;13,04;14,42;6,23;10,21;9,76;14,61
77;Ивановский государственный химико-технологический университет;;1,82;5,07;3,93;3,95;3,21;5,67;5,82;7,33
