miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;;56,89;55,60;74,65;75,90;77,81;74,45;68,25
2;Алтайская государственная педагогическая академия;;;66,03;63,17;60,62;58,31;61,79;67,23;48,85
3;Алтайский государственный технический университет им. И.И. Ползунова;;;90,66;89,76;89,98;91,84;90,91;90,90;93,57
4;Алтайский государственный университет;;;81,26;73,84;71,60;72,44;86,81;84,97;87,79
5;Амурский государственный университет;;;82,16;84,47;57,70;80,74;67,24;58,28;61,08
6;Амурский гуманитарно-педагогический государственный университет;;;87,62;85,36;81,38;75,08;80,65;84,74;57,11
7;Ангарская государственная техническая академия;;;94,57;91,64;89,62;92,29;91,36;91,22;88,85
9;Армавирская государственная педагогическая академия;;;68,75;64,58;67,09;73,58;76,05;78,00;72,33
11;Астраханский государственный университет;;;55,19;72,60;72,56;75,61;89,35;85,83;70,35
12;Байкальский государственный университет экономики и права;;;81,99;68,35;69,82;72,91;78,22;86,35;85,43
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;;73,64;67,11;80,61;77,31;60,16;77,69;77,08
14;Башкирский государственный педагогический университет им. М. Акмуллы;;;79,29;81,89;72,49;72,83;81,29;80,04;86,81
15;Башкирский государственный университет;;;85,57;84,05;86,52;86,91;88,72;88,50;90,69
16;Белгородский государственный технологический университет им. В.Г. Шухова;;;74,56;78,35;79,04;77,52;78,77;77,78;71,27
17;Белгородский государственный национальный исследовательский университет;;;50,35;52,40;60,03;66,17;70,10;64,74;60,4
19;Алтайская государственная академия образования имени В.М. Шукшина;;;61,72;60,58;55,81;51,60;61,42;56,73;96,11
21;Благовещенский государственный педагогический университет;;;84,59;83,45;83,85;83,12;89,36;89,85;88,53
23;Братский государственный университет;;;86,66;89,40;86,94;85,75;86,85;66,13;73,79
24;Брянская государственная инженерно-технологическая академия;;;81,06;81,64;82,89;86,95;80,07;73,57;68,67
25;Брянский государственный технический университет;;;93,82;92,98;77,50;85,10;85,03;86,51;80,67
26;Брянский государственный университет имени академика И.Г. Петровского.;;;90,05;91,01;89,05;89,63;87,67;88,13;82,22
27;Бурятский государственный университет;;;91,48;93,66;92,85;94,42;95,03;78,12;91,58
28;Владивостокский государственный университет экономики и сервиса;;;83,76;80,75;81,36;79,79;81,59;81,32;83,78
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;;82,61;84,04;85,18;83,14;87,86;85,32;85,21
33;Волгоградский государственный архитектурно-строительный университет;;;88,03;;;;;;
34;Волгоградский государственный социально-педагогический университет;;;66,51;;63,74;61,71;65,95;73,61;75,56
35;Волгоградский государственный технический университет;;;63,83;62,74;73,56;63,62;66,74;67,87;70,63
36;Волгоградский государственный университет;;;89,65;90,35;89,31;89,38;88,07;87,15;89,1
39;Вологодский государственный университет;;;70,95;73,00;72,92;75,79;76,83;72,42;63,99
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;;87,51;88,70;79,58;76,15;79,39;78,74;90,29
41;Воронежский государственный университет инженерных технологий;;;88,43;88,17;88,70;84,34;89,65;91,98;90,6
42;Воронежский государственный архитектурно-строительный университет;;;71,99;;;;;;
43;Воронежский государственный педагогический университет;;;71,16;66,89;70,74;69,20;71,25;74,83;72,52
44;Воронежский государственный технический университет;;;80,35;77,83;62,79;67,64;65,03;74,14;75,18
45;Воронежский государственный университет ;;;69,59;74,15;80,49;85,56;69,27;71,45;65,75
46;Восточно-Сибирский государственный университет технологий и управления;;;92,33;91,34;91,16;92,34;94,50;93,95;81,87
48;Высшая школа народных искусств (институт);;;89,36;93,09;90,12;85,22;82,94;76,64;41,33
49;Вятский государственный гуманитарный университет;;;85,45;;;;;;
50;Вятский государственный университет;;;92,48;90,91;81,15;84,63;85,68;88,48;92,92
51;Гжельский государственный художественно-промышленный институт;;;98,39;98,01;97,56;97,26;98,08;98,53;94,89
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;;77,42;74,51;76,33;77,97;78,04;77,39;87,17
53;Горно-Алтайский государственный университет;;;84,45;80,67;83,93;84,33;84,88;84,69;84,69
54;Государственная академия славянской культуры;;;95,02;;;;;;
55;Государственная классическая академия имени Маймонида;;;;;;;;;
56;Государственная полярная академия;;;83,22;;;;;;
57;Государственный академический университет гуманитарных наук;;;75,70;62,24;79,11;75,81;76,06;75,20;80,21
58;Государственный институт русского языка им. А.С. Пушкина;;;69,28;21,34;27,50;27,78;43,68;52,56;37,31
59;Национальный исследовательский технологический университет МИСиС;;;33,92;31,07;35,68;40,66;38,69;47,41;42,51
60;Государтвенный университет управления;;;91,61;91,76;91,52;92,91;93,50;94,32;89,74
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;;63,04;66,04;70,48;63,33;72,46;24,65;39,01
62;Дагестанский государственный педагогический университет;;;99,60;87,12;91,76;94,62;97,94;64,68;64,33
