miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;;155 483,30;193 999,70;224 887,50;290 689,60;377 965,10;456 720,10;410082,9
2;Алтайская государственная педагогическая академия;;;99 274,80;105 187,40;109 297,80;110 893,00;131 834,50;144 651,30;130423,4
3;Алтайский государственный технический университет им. И.И. Ползунова;;;366 717,00;360 464,20;345 163,50;337 814,90;343 905,50;350 060,20;270641,4
4;Алтайский государственный университет;;;373 550,10;464 698,00;545 609,80;612 569,10;668 457,90;758 272,00;741974
5;Амурский государственный университет;;;323 526,30;374 753,30;377 876,10;360 279,60;345 449,70;486 783,20;349319,4
6;Амурский гуманитарно-педагогический государственный университет;;;101 004,40;98 133,10;92 402,20;82 358,30;76 172,60;62 282,00;48646,3
7;Ангарская государственная техническая академия;;;50 875,70;59 093,20;56 484,30;50 503,50;56 847,80;47 027,30;48164,5
9;Армавирская государственная педагогическая академия;;;148 501,00;139 883,90;146 462,40;156 391,30;153 943,10;167 766,80;144718,9
11;Астраханский государственный университет;;;372 561,00;387 439,80;369 620,80;451 430,30;496 071,50;566 189,20;496128,6
12;Байкальский государственный университет экономики и права;;;784 719,10;794 598,50;875 605,40;839 447,30;925 243,90;818 326,90;732138,3
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;;353 885,50;292 475,20;405 449,00;422 191,70;465 793,00;515 246,40;627651,6
14;Башкирский государственный педагогический университет им. М. Акмуллы;;;376 459,20;395 043,80;431 326,10;419 650,10;371 959,50;381 079,00;320644,8
15;Башкирский государственный университет;;;566 664,00;674 283,70;673 604,90;749 496,40;908 418,50;915 728,30;871721,1
16;Белгородский государственный технологический университет им. В.Г. Шухова;;;615 089,50;602 090,60;604 301,50;647 228,20;647 778,60;716 091,30;794771,1
17;Белгородский государственный национальный исследовательский университет;;;1 348 222,80;1 563 895,30;1 324 098,80;1 515 228,90;1 476 098,50;1 891 880,80;2118643,5
19;Алтайская государственная академия образования имени В.М. Шукшина;;;29 517,10;29 113,90;25 412,90;22 909,60;20 287,50;24 195,40;21260,9
21;Благовещенский государственный педагогический университет;;;135 344,10;147 551,60;131 219,80;134 668,40;147 037,90;168 072,50;117530,6
23;Братский государственный университет;;;166 077,10;155 841,00;161 194,60;159 772,40;157 446,60;153 100,90;146392,7
24;Брянская государственная инженерно-технологическая академия;;;114 315,00;115 792,20;94 897,90;92 974,00;108 923,20;121 930,00;93377,5
25;Брянский государственный технический университет;;;218 715,40;148 936,10;185 715,70;204 561,90;221 920,60;239 287,10;244317,4
26;Брянский государственный университет имени академика И.Г. Петровского.;;;173 635,00;194 427,20;214 973,80;244 812,30;273 424,30;291 840,70;287472
27;Бурятский государственный университет;;;234 347,70;290 884,50;278 227,00;272 436,60;290 426,00;287 854,10;266931,3
28;Владивостокский государственный университет экономики и сервиса;;;837 600,50;902 837,20;900 588,10;977 827,20;1 175 573,30;1 278 078,90;1278798
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;;519 121,40;586 396,50;598 664,20;599 429,70;643 211,20;708 561,60;637374,1
33;Волгоградский государственный архитектурно-строительный университет;;;152 273,50;;;;;;
34;Волгоградский государственный социально-педагогический университет;;;174 351,70;;172 585,50;172 754,40;202 581,60;172 795,20;171411,1
35;Волгоградский государственный технический университет;;;594 116,30;672 830,20;745 408,90;931 583,80;960 829,40;1 009 295,80;920195,3
36;Волгоградский государственный университет;;;260 882,70;276 498,00;304 763,10;319 138,00;347 617,60;380 740,20;394567,5
39;Вологодский государственный университет;;;257 906,80;277 038,20;283 833,80;282 115,20;268 422,30;280 804,30;266515,5
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;;150 342,60;154 778,50;174 308,30;234 329,90;273 510,10;355 945,90;327134,4
41;Воронежский государственный университет инженерных технологий;;;192 878,30;213 406,50;209 452,20;217 205,60;254 781,50;272 930,60;222993,3
42;Воронежский государственный архитектурно-строительный университет;;;406 136,40;;;;;;
43;Воронежский государственный педагогический университет;;;107 317,90;160 116,60;149 486,60;172 407,90;225 939,00;267 062,00;249895,2
44;Воронежский государственный технический университет;;;341 681,40;317 934,90;644 657,90;717 737,10;765 698,90;784 906,00;617827
45;Воронежский государственный университет ;;;922 334,40;1 037 359,10;1 067 963,10;1 023 699,60;1 065 012,70;1 234 707,70;1074063,5
46;Восточно-Сибирский государственный университет технологий и управления;;;363 659,80;386 582,30;359 283,40;309 939,70;264 801,80;275 395,20;245875,7
48;Высшая школа народных искусств (институт);;;7 404,90;7 058,30;8 010,00;5 793,80;6 939,00;8 679,30;6467,6
49;Вятский государственный гуманитарный университет;;;311 485,40;;;;;;
50;Вятский государственный университет;;;303 111,60;619 703,80;647 128,20;628 274,40;699 491,80;753 123,70;680380,4
51;Гжельский государственный художественно-промышленный институт;;;63 207,80;87 592,70;116 071,20;134 958,40;168 662,30;158 373,80;187681,8
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;;77 876,20;79 988,40;87 241,60;88 974,30;110 397,90;107 190,60;83492,2
53;Горно-Алтайский государственный университет;;;63 209,40;59 415,60;57 936,40;56 329,50;61 076,80;64 733,80;47305,8
54;Государственная академия славянской культуры;;;13 156,00;;;;;;
55;Государственная классическая академия имени Маймонида;;;;;;;;;
56;Государственная полярная академия;;;82 557,80;;;;;;
57;Государственный академический университет гуманитарных наук;;;80 102,50;104 333,80;118 953,60;138 880,20;194 187,60;244 456,60;280968,3
58;Государственный институт русского языка им. А.С. Пушкина;;;139 312,00;712 698,50;534 169,10;539 447,70;425 660,90;398 040,50;272395,4
59;Национальный исследовательский технологический университет МИСиС;;;1 608 260,00;1 648 002,00;2 092 078,00;2 029 577,20;3 247 876,00;2 761 215,10;3308093,6
60;Государтвенный университет управления;;;1 024 595,90;1 022 384,10;1 037 151,10;1 031 501,40;1 124 385,70;1 248 783,40;1322411,8
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;;205 664,00;178 998,00;190 527,90;189 973,00;236 354,50;457 957,00;442510,7
62;Дагестанский государственный педагогический университет;;;101 249,50;66 647,20;61 919,40;55 203,10;42 708,20;37 497,50;39411
63;Дагестанский государственный технический университет;;;141 697,00;242 996,20;240 042,50;125 449,80;171 569,00;209 435,00;149304
