miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;1,94;3,95;5,32;1,3;1,1;5,07;14,32;11,23
2;Алтайская государственная педагогическая академия;;1,28;0,32;1,31;2,59;3,57;5,83;4,41;7,54
3;Алтайский государственный технический университет им. И.И. Ползунова;;1,41;1,64;5,01;6,84;11,34;9,12;13,36;11,04
4;Алтайский государственный университет;;4,73;8,42;15,07;31,65;45,87;59,73;71,81;63
5;Амурский государственный университет;;2,28;4,19;4,46;3,81;8,63;14,34;15,9;12,41
6;Амурский гуманитарно-педагогический государственный университет;;7,59;6,12;6,86;4,25;3,72;4,67;4,26;3,1
7;Ангарская государственная техническая академия;;7,78;13,66;16,07;17,98;15,27;23,34;20,38;15,71
9;Армавирская государственная педагогическая академия;;0;0;0;2,74;4,28;2,31;2,34;7,66
11;Астраханский государственный университет;;1,5;1,45;2,27;2,2;5,63;9,74;15;12,05
12;Байкальский государственный университет экономики и права;;0,29;0,43;4,38;1,41;7,52;15;14,62;8,99
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;0;0;0,61;3,21;17,39;4,75;10,16;6,54
14;Башкирский государственный педагогический университет им. М. Акмуллы;;4,83;3,75;4,4;8,42;7,44;11,22;8,97;12,54
15;Башкирский государственный университет;;7,48;10,66;22,31;21,01;23,53;34,73;35,44;36,81
16;Белгородский государственный технологический университет им. В.Г. Шухова;;4,48;4,89;11,79;5,37;14,65;28,97;16,08;14,89
17;Белгородский государственный национальный исследовательский университет;;5,7;8,76;10,29;14,61;29,58;34,94;38,41;33,48
19;Алтайская государственная академия образования имени В.М. Шукшина;;1,87;2,94;4,07;6,67;23,45;17,86;24,98;14,22
21;Благовещенский государственный педагогический университет;;1,82;4,15;4,33;10,73;4,48;5,62;9,02;10,55
23;Братский государственный университет;;0;0,59;0,33;1,07;2,19;4,35;6,26;3,48
24;Брянская государственная инженерно-технологическая академия;;0;0,45;2,56;1,68;3,07;9,88;19,12;6,82
25;Брянский государственный технический университет;;1,08;3,02;4;4,95;14,38;12,21;6,33;6,48
26;Брянский государственный университет имени академика И.Г. Петровского.;;4,2;3,78;4,19;6,54;12,22;11,02;9,97;18,35
27;Бурятский государственный университет;;9,59;5,8;6,08;9,57;16,01;16,35;17,47;21,75
28;Владивостокский государственный университет экономики и сервиса;;2,73;4,5;6,42;7,65;15,87;35,02;24,1;25,42
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;1,78;3,65;8,09;9,22;17,39;17,51;24,38;15,66
33;Волгоградский государственный архитектурно-строительный университет;;0;0,28;;;;;;
34;Волгоградский государственный социально-педагогический университет;;0;1,48;;3,54;10,33;9,51;16,64;9,45
35;Волгоградский государственный технический университет;;10,09;14,96;15,02;19,57;32,57;20,11;26,52;24,06
36;Волгоградский государственный университет;;8,31;5,53;15,22;13,22;41,1;43,2;58,86;35,24
39;Вологодский государственный университет;;4,46;3,91;5,73;11,67;13,99;9,02;10,59;23,81
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;0,32;2,16;1,72;2,21;7,19;10,57;25,51;7,64
41;Воронежский государственный университет инженерных технологий;;1,67;1,5;4,56;4,48;9,13;17,84;17,88;22,35
42;Воронежский государственный архитектурно-строительный университет;;1,55;1,73;;;;;;
43;Воронежский государственный педагогический университет;;3,86;3,14;5,36;5,9;9,71;8,78;12,35;15,31
44;Воронежский государственный технический университет;;6,14;2,86;5,18;8,66;12,12;17,91;18,47;18,75
45;Воронежский государственный университет ;;13,53;13,28;15,84;18,22;48,88;25,52;26,17;26,95
46;Восточно-Сибирский государственный университет технологий и управления;;1,09;1,25;2,4;2,98;6,74;6,1;6,33;6,37
48;Высшая школа народных искусств (институт);;0;0;0;0;0;0;11,11;16,13
49;Вятский государственный гуманитарный университет;;1,09;0,72;;;;;;
50;Вятский государственный университет;;2,74;1,49;1,7;4,82;18,17;17,86;24,45;26,53
51;Гжельский государственный художественно-промышленный институт;;3,17;3,19;6,23;7,08;8,09;12,33;15,75;19,92
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;0;1,77;3,88;3,62;10,36;2,84;11,67;12,2
53;Горно-Алтайский государственный университет;;4,87;1,42;4,09;4,91;2,9;9,56;20,34;17,09
54;Государственная академия славянской культуры;;0;1,57;;;;;;
55;Государственная классическая академия имени Маймонида;;1,63;;;;;;;
56;Государственная полярная академия;;;0;;;;;;
57;Государственный академический университет гуманитарных наук;;7,57;12,61;24,25;49,54;92,86;60,91;42,28;68,89
58;Государственный институт русского языка им. А.С. Пушкина;;0;0;0;0;4,51;26,58;49,5;54,64
59;Национальный исследовательский технологический университет МИСиС;;23,58;30,88;62,97;96,75;209,59;170,46;173,69;157,33
60;Государтвенный университет управления;;0,52;0;0,21;0,84;4,79;6,24;29,21;22,92
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;0,72;0,8;0,4;0;3,29;10,55;7,79;3,12
62;Дагестанский государственный педагогический университет;;0,89;0,8;1,93;1,51;2,69;4,69;1,78;4,97
63;Дагестанский государственный технический университет;;6,23;8,13;8,62;2,58;3,6;4,46;8,5;4
64;Дагестанский государственный университет;;2,94;4,9;6,79;10,96;15,65;20,06;25,14;23,44
66;Приамурский государственный университет имени Шолом-Алейхема;;4,54;9,06;13,87;1,82;5,65;23,47;26,82;9,4
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;0,82;2,32;3,72;8,28;30,81;13,98;14,44;12,08
72;Елецкий государственный университет им. И.А. Бунина;;1,39;1,41;2,33;10,4;20,9;17,55;19,52;23,84
76;Ивановский государственный университет;;7,57;12,8;11,31;12,55;21,66;19,06;31,81;25,06
77;Ивановский государственный химико-технологический университет;;32,48;60,38;51,1;58,9;73,05;94,99;102,04;88,11
78;Ивановский государственный энергетический университет имени В.И. Ленина;;2,17;2,8;3,62;1,88;6,53;5,62;6,74;6,57
