miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;;0;0,12;0,06;0,05;0,04;0,14;0,25
2;Алтайская государственная педагогическая академия;;;0;5,11;9,7;12,54;13,24;12,1;10,96
3;Алтайский государственный технический университет им. И.И. Ползунова;;;0;2,87;2,51;2,05;1,4;1,1;1,1
4;Алтайский государственный университет;;;7,44;5,28;0,65;0,96;0,69;0,26;2,95
5;Амурский государственный университет;;;0,92;0;6,21;4,55;6,39;4,49;5,09
6;Амурский гуманитарно-педагогический государственный университет;;;4,47;3,82;3,7;4,49;5,19;5,37;5,8
7;Ангарская государственная техническая академия;;;0;0;0;0;0;0;0
9;Армавирская государственная педагогическая академия;;;0;0;18,85;20,96;19,94;17,07;12,47
11;Астраханский государственный университет;;;3,47;5,02;5,8;4,94;4,72;4,25;3,28
12;Байкальский государственный университет экономики и права;;;0,53;1,4;1,69;1,16;0,79;0;0,21
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;;26,9;27;28,49;26,25;25,01;20,33;15,82
14;Башкирский государственный педагогический университет им. М. Акмуллы;;;0;2,98;3,03;3,05;3,61;3,48;3,98
15;Башкирский государственный университет;;;3,89;3,39;3,35;2,98;3,33;3,19;2,49
16;Белгородский государственный технологический университет им. В.Г. Шухова;;;1,24;2,3;4,98;17,65;18,47;14,62;16,09
17;Белгородский государственный национальный исследовательский университет;;;2,99;4,22;3,93;10,43;14,47;20,09;17,05
19;Алтайская государственная академия образования имени В.М. Шукшина;;;3,1;0;8,7;10,34;10,14;9,48;8,86
21;Благовещенский государственный педагогический университет;;;0;7,78;5,68;4,46;2,65;2,12;2,03
23;Братский государственный университет;;;1,84;0;0,41;0,15;0,08;0,04;0,24
24;Брянская государственная инженерно-технологическая академия;;;2,68;2,67;2,3;1,81;0,8;0,57;1,21
25;Брянский государственный технический университет;;;0;0;1,81;2,72;2,61;2,53;2,58
26;Брянский государственный университет имени академика И.Г. Петровского.;;;3,12;4,75;4,27;3,4;2,76;2,56;2,81
27;Бурятский государственный университет;;;4,26;6,39;8,74;8,85;9,3;9,95;10,74
28;Владивостокский государственный университет экономики и сервиса;;;0;0,45;2,37;2,1;1,5;0,76;0,53
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;;3,58;5,84;4,01;5,88;4,39;3,44;3,32
33;Волгоградский государственный архитектурно-строительный университет;;;0,24;;;;;;
34;Волгоградский государственный социально-педагогический университет;;;0;;5,45;4,74;3,9;4,02;4,11
35;Волгоградский государственный технический университет;;;0;0;1,32;1,36;1,4;1,22;0,99
36;Волгоградский государственный университет;;;0;0;1,36;0,27;0,6;0,62;1,48
39;Вологодский государственный университет;;;0;3,16;2,51;2,27;2,01;2,24;2,62
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;;0;2,54;2,17;1,87;1,56;1,6;2,14
41;Воронежский государственный университет инженерных технологий;;;5,65;0;2,38;2,05;1,36;1,04;0,54
42;Воронежский государственный архитектурно-строительный университет;;;13,93;;;;;;
43;Воронежский государственный педагогический университет;;;0;6,22;7,25;2,31;2,95;4,12;4,72
44;Воронежский государственный технический университет;;;7,33;7,8;12,23;12,46;11,74;10,05;8,63
45;Воронежский государственный университет ;;;1,04;1,31;1,49;1,89;2,01;1,83;1,88
46;Восточно-Сибирский государственный университет технологий и управления;;;14,7;0;7,26;7,23;6,51;6,02;5,49
48;Высшая школа народных искусств (институт);;;0;0;0;0;0;0;0
49;Вятский государственный гуманитарный университет;;;5,7;;;;;;
50;Вятский государственный университет;;;0;2,17;5,06;4,85;5,25;5,15;4,66
51;Гжельский государственный художественно-промышленный институт;;;0;0;0;0;0;0;0
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;;0;0;24,51;25,49;24,7;19,18;16,35
53;Горно-Алтайский государственный университет;;;2,66;2,8;2,35;1,94;2,09;1,96;1,57
54;Государственная академия славянской культуры;;;0;;;;;;
55;Государственная классическая академия имени Маймонида;;;;;;;;;
56;Государственная полярная академия;;;0;;;;;;
57;Государственный академический университет гуманитарных наук;;;0;0;0;0;0;0;0
58;Государственный институт русского языка им. А.С. Пушкина;;;0;0;0;0;0;0;0
59;Национальный исследовательский технологический университет МИСиС;;;1,12;6,14;5,16;3,46;2,51;1,08;0,8
60;Государтвенный университет управления;;;1,28;0;1,56;1,06;0;0,99;1,37
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;;0;0;0,38;0,53;0,39;0,62;0,84
62;Дагестанский государственный педагогический университет;;;0;0;0;0,06;0,06;0,06;0,06
63;Дагестанский государственный технический университет;;;0;0;4,63;3,19;2,68;1,6;0,6
64;Дагестанский государственный университет;;;2,36;2,16;7,8;1,99;1,23;1,37;1,02
66;Приамурский государственный университет имени Шолом-Алейхема;;;0;2,39;1,48;2,38;3,08;2,22;2,07
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;;0,97;1,24;4,18;4,01;1,51;1,89;2,33
72;Елецкий государственный университет им. И.А. Бунина;;;0;0;1,93;1,5;1,66;2,01;2,64
76;Ивановский государственный университет;;;0;1,12;1,4;1,61;1,27;1,28;2,43
77;Ивановский государственный химико-технологический университет;;;0;4,41;3,84;3,43;2,64;2,19;1,76
78;Ивановский государственный энергетический университет имени В.И. Ленина;;;0;0;2,08;3,88;5,43;6,57;5,59
79;Ижевский государственный технический университет имени М.Т. Калашникова;;;9,57;6,52;8,72;8,71;7,94;7,68;7,02
80;Ингушский государственный университет;;;0;4,64;3,72;5,95;7,37;11,58;11,83
82;Иркутский национальный исследовательский технический университет;;;5,65;6,13;8,91;9,97;10,82;11,45;11
83;Иркутский государственный университет;;;0;3,67;2,96;3,41;3,48;3,99;4,22
85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;;;1,78;1,32;1,73;1,84;2,15;2,78;3,25
86;Казанский государственный архитектурно-строительный университет;;;0;3,67;3,81;3,21;3,1;2,69;2,62
87;Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ;;;6,18;6,82;8,41;8,83;9,8;8,32;7,97
88;Казанский национальный исследовательский технологический университет;;;2,93;9,26;7,28;5,82;7,52;10;8,99
91;Казанский государственный энергетический университет;;;2,23;2,52;4,1;3,93;3,68;3,8;3,93
92;Калмыцкий государственный университет;;;8,55;5,05;6,11;4,1;3,64;1,89;1,5
93;Калужский государственный университет им. К.Э. Циолковского;;;3,21;0;4,58;5,06;5,89;4,62;5,96
95;Камчатский государственный университет имени Витуса Беринга;;;0,12;0;0;1,07;1,72;0;
96;Северо-Кавказская государственная гуманитарно-технологическая академия;;;0;0;0;0;0;0,21;2,32
97;Карачаево-Черкесского государственного университета имени У.Д. Алиева;;;0;0,06;0;0,03;0,12;0,08;0,09
99;Кемеровский государственный университет;;;3,95;4,52;4,75;3,72;2,66;1,99;2,1
100;Кемеровский технологический институт пищевой промышленности;;;1,31;3,21;2,9;2,4;;;
101;Ковровская государственная технологическая академия имени В.А.Дегтярева;;;0;9,05;10,04;6,96;8,21;6,45;4,98
103;Комсомольский-на-Амуре государственный технический университет;;;0;11,26;10,37;9,4;9,62;8,01;5,94
104;Костромской государственный технологический университет.;;;3,77;2,51;3,28;3,36;3,33;3,69;4,14
105;Костромской государственный университет имени Н.А. Некрасова;;;4,05;;;;;;
106;Красноярский государственный педагогический университетим. В.П. Астафьева;;;3,01;3,16;3,53;4,65;5,31;5,95;6,52
108;Кубанский государственный технологический университет;;;0;1,83;5,69;2,43;18,72;32,17;45,13
109;Кубанский государственный университет;;;0,75;4,57;9,56;12,04;13,65;12,56;10,72
111;Кузбасский государственный технический университет имени Т.Ф.Горбачева;;;0;5,29;4,89;3,44;3,05;2,84;2,67
112;Курганский государственный университет;;;7,72;10,27;12,59;12,37;9,64;7,83;5,73
113;Юго-Западный государственный университет;;;0;4,05;4;3,45;2,81;2,34;2
114;Курский государственный университет;;;5,03;5,6;6,67;5,7;5,49;5,1;4,98
116;Липецкий государственный педагогический университет;;;6,31;6,24;10,21;10,14;11,6;12,03;12,3
117;Липецкий государственный технический университет;;;0;3,93;3,18;3,38;3,81;4,08;4,05
118;Литературный институт имени А.М. Горького;;;0;0;0;0;0;0;0
119;МАТИ - Российский государственный технологический университет имени К.Э. Циолковского;;;;;;;;;
120;Магнитогорский государственный технический университет им. Г.И. Носова;;;0;0;3,94;3,57;3,27;2,91;2,37
122;Майкопский государственный технологический университет;;;0;0,17;6,66;6,83;4,99;7,23;8,19
123;Поволжский государственный технологический университет;;;4,12;10,78;10,6;9,43;7,68;6,45;4,16
124;Марийский государственный университет;;;0;0;6,45;5,1;3,43;4,18;4,72
126;Мордовский государственный педагогический институт имени М.Е. Евсевьева;;;6,54;7,53;8,99;8,38;7,21;7,3;7,69
127;Мордовский государственный университет им. Н.П. Огарёва;;;0;10,18;8,94;8,05;8,05;8,99;9,77
129;Московский государственный университет тонких химических технологий имени М.В. Ломоносова;;;0,86;;;;;;
130;Московский государственный юридический университет имени О.Е. Кутафина;;;0;0;0;0;0;0;0
131;Московский авиационный институт (национальный исследовательский университет);;;15,23;13,34;21,92;22,27;23,77;24,11;20,44
132;Московский автомобильно-дорожный государственный технический университет (МАДИ);;;3,72;2,69;2,56;4,28;2,21;2,68;2,2
133;Московский архитектурный институт (государственная академия);;;0;0;2,78;1,95;1,91;1,57;1,27
134;МИРЭА - Российский технологический университет;;;0;7,11;7,12;6,41;7,26;6,07;5,9
136;Московский государственный горный университет;;;;;;;;;
137;Московский государственный гуманитарный университет имени М.А. Шолохова;;;;;;;;;
138;Московский государственный индустриальный университет;;;;;;;;;
140;Национальный исследовательский университет МИЭТ;;;0;7,66;8,82;8,7;9,34;9,3;8,08
141;Московский государственный лингвистический университет;;;0;0;0,75;0,66;0,72;0;0,35
143;Московский государственный гуманитарно-экономический университет;;;0;0;0;0;0;0;0
144;Московский государственный строительный университет;;;0,82;2,17;2,74;2,6;2,74;2,09;1,79
146;Московский государственный машиностроительный университет (МАМИ);;;0;;;;;;
147;Московский государственный технический университет имени Н.Э. Баумана;;;15,16;20,39;24,98;28,25;29,32;28,31;25,98
148;Московский государственный технологический университет СТАНКИН;;;2,49;6,18;6,68;6,95;6,7;5,91;5,1
149;Московский государственный университет экономики, статистики и информатики (МЭСИ);;;;;;;;;
