miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;1 110;1 025;976;952;856;797;786;791;705
2;Алтайская государственная педагогическая академия;886;841;814;796;793;718;666;647;643
3;Алтайский государственный технический университет им. И.И. Ползунова;2 243;2 092;2 086;1 896;1 582;1 528;1 402;1 274;1256
4;Алтайский государственный университет;1 816;1 902;1 804;1 589;1 462;1 407;1 426;1 527;1518
5;Амурский государственный университет;1 209;1 017;1 009;900;850;801;719;669;654
6;Амурский гуманитарно-педагогический государственный университет;458;450;409;385;364;347;319;286;251
7;Ангарская государственная техническая академия;411;358;339;301;297;272;236;230;220
9;Армавирская государственная педагогическая академия;649;483;525;456;432;425;414;412;424
11;Астраханский государственный университет;1 625;1 579;1 336;1 346;1 398;1 271;1 205;1 179;1198
12;Байкальский государственный университет экономики и права;1 119;1 071;1 121;1 118;983;870;772;660;701
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;1 187;1 110;1 055;1 026;1 020;1 022;1 106;1 130;1159
14;Башкирский государственный педагогический университет им. М. Акмуллы;1 461;1 328;927;937;916;871;750;727;685
15;Башкирский государственный университет;2 116;2 070;1 984;1 792;1 718;1 706;1 617;1 592;1573
16;Белгородский государственный технологический университет им. В.Г. Шухова;1 810;1 720;1 645;1 643;1 602;1 551;1 510;1 470;1476
17;Белгородский государственный национальный исследовательский университет;2 859;2 933;2 793;2 749;2 743;2 650;2 461;2 120;2081
19;Алтайская государственная академия образования имени В.М. Шукшина;568;528;421;278;270;234;193;187;192
21;Благовещенский государственный педагогический университет;731;619;567;523;501;497;470;441;421
23;Братский государственный университет;938;818;801;760;627;546;442;419;356
24;Брянская государственная инженерно-технологическая академия;697;651;609;574;555;478;447;353;322
25;Брянский государственный технический университет;959;869;852;836;820;818;834;829;795
26;Брянский государственный университет имени академика И.Г. Петровского.;1 280;1 118;1 007;923;890;756;725;723;698
27;Бурятский государственный университет;1 297;1 183;1 159;1 197;1 150;1 126;1 063;1 053;1029
