miccedu_id;clear_name;ind_2013_value;ind_2014_value;ind_2015_value;ind_2016_value;ind_2017_value;ind_2018_value;ind_2019_value;ind_2020_value;ind_2021_value
1;Адыгейский государственный университет;;0,43;7,47;14,5;5,98;4,69;10,15;14,9;16,71
2;Алтайская государственная педагогическая академия;;2,88;2,23;4,9;2,59;2,38;3,24;4,07;6,86
3;Алтайский государственный технический университет им. И.И. Ползунова;;2,5;6,17;8,8;11,03;15,73;20,97;34,68;26,75
4;Алтайский государственный университет;;7,78;14,15;19,3;30,24;39,66;60,39;94,66;92,09
5;Амурский государственный университет;;2,43;5,59;10,75;10,08;10,36;14,34;16,91;24,83
6;Амурский гуманитарно-педагогический государственный университет;;3,8;6,8;9,9;12,74;2,98;6,23;10,21;21,73
7;Ангарская государственная техническая академия;;12,97;14,42;16,91;25,17;43,77;33,95;40,75;78,55
9;Армавирская государственная педагогическая академия;;0;2,32;4;4,3;4,66;5,38;4,69;3,83
11;Астраханский государственный университет;;3,25;3,02;5,95;4,11;5,96;14,26;20;15,77
12;Байкальский государственный университет экономики и права;;2,74;3,44;4,99;4,95;2,56;13,48;17,4;10,27
13;Балтийский государствнный технический университет ВОЕНМЕХ им. Д.Ф. Устинова;;1,34;2,92;5,25;5,81;10,08;10,02;13,78;14,07
14;Башкирский государственный педагогический университет им. М. Акмуллы;;5,17;6,66;10,26;20,11;8,72;16,42;13,99;16,73
15;Башкирский государственный университет;;8,67;15,73;26,89;26,8;29,56;44,94;47,38;46,9
16;Белгородский государственный технологический университет им. В.Г. Шухова;;18,05;24,73;53,83;11,73;18,38;42,87;34,15;50,56
17;Белгородский государственный национальный исследовательский университет;;10,22;26,67;29,05;31,54;36,2;41,56;61,01;57,5
19;Алтайская государственная академия образования имени В.М. Шукшина;;3,28;4,11;11,39;17,16;19,93;14,29;19,99;19,69
21;Благовещенский государственный педагогический университет;;1,82;5,07;6,25;14,12;5,47;7,31;8,52;14,27
23;Братский государственный университет;;3,16;2,64;3,25;4,66;5,47;13,45;13,96;25,34
24;Брянская государственная инженерно-технологическая академия;;2,5;4,09;5,12;4,48;10,44;28,88;32,42;22,17
25;Брянский государственный технический университет;;3,23;5,77;17,52;27,35;22,95;18,31;30,87;27,28
26;Брянский государственный университет имени академика И.Г. Петровского.;;3,78;6,14;6,43;10,41;18,65;12,32;17,95;16,28
27;Бурятский государственный университет;;11,29;10,23;7,95;13,63;18,36;18,88;28,53;29
28;Владивостокский государственный университет экономики и сервиса;;5,23;10,12;16,32;20,51;22,43;22,66;27,3;27,54
30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;;3,63;12,01;19,68;18,44;26,78;31,11;42,54;45,85
33;Волгоградский государственный архитектурно-строительный университет;;5,04;3,66;;;;;;
34;Волгоградский государственный социально-педагогический университет;;2,38;2,59;;5,11;7,91;11,65;11,89;18,57
35;Волгоградский государственный технический университет;;32,3;26,64;29,86;31,91;39,84;43,03;76,49;75,69
36;Волгоградский государственный университет;;11,95;9,95;12,87;17,86;30,83;39;68,87;50,95
39;Вологодский государственный университет;;4,74;5,32;6,55;7,32;8,96;11,16;23,44;38,04
40;Воронежский государственный лесотехнический университете имени Г.Ф. Морозова;;7,6;5,04;6,89;11,47;11,68;26,83;60,93;51,39
41;Воронежский государственный университет инженерных технологий;;0,37;1,5;12,91;9,22;13,08;26,43;29,91;39,44
42;Воронежский государственный архитектурно-строительный университет;;1,69;2,31;;;;;;
43;Воронежский государственный педагогический университет;;3,61;3,66;8,19;12,69;10,59;13,18;17,28;15,93
44;Воронежский государственный технический университет;;8,03;9,52;8,86;13,6;19,25;26,34;38,5;48,65
45;Воронежский государственный университет ;;20,93;23,97;22,37;25,64;27,06;32,25;38,34;43,71
46;Восточно-Сибирский государственный университет технологий и управления;;3,11;2,98;7,72;6,79;13,49;13,11;17,79;13,95
48;Высшая школа народных искусств (институт);;0;0;7,02;13,79;0;3,92;3,7;0
49;Вятский государственный гуманитарный университет;;1,28;2,65;;;;;;
50;Вятский государственный университет;;6,1;2,82;5,38;10,02;25,58;29,1;38,76;44,87
51;Гжельский государственный художественно-промышленный институт;;3,17;19,14;24,92;25,5;29,67;30,83;38,65;39,84
52;Глазовский государственный педагогический институт имени В.Г. Короленко;;1,63;5,31;10,66;5,42;6,59;9,48;15,56;16,56
53;Горно-Алтайский государственный университет;;2,78;3,92;8,18;9,82;4,96;16,99;22,54;34,19
54;Государственная академия славянской культуры;;2,5;1,57;;;;;;
55;Государственная классическая академия имени Маймонида;;2,53;;;;;;;
56;Государственная полярная академия;;;4,32;;;;;;
57;Государственный академический университет гуманитарных наук;;0;37,84;39,57;40,93;96,85;71,07;34,59;57,16
58;Государственный институт русского языка им. А.С. Пушкина;;0;0;1,94;2,75;3,61;21,04;27,11;35,22
59;Национальный исследовательский технологический университет МИСиС;;55,87;40,79;77,45;122,86;191,85;240,85;266,22;262,11
60;Государтвенный университет управления;;1,3;1,27;2,91;5,7;5,04;9,36;64,59;71,28
61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова;;1,25;2,41;2,01;9,6;6,03;5,53;5,71;17,07
62;Дагестанский государственный педагогический университет;;0,89;2,26;3,45;1,7;2,69;6,26;4,76;6,14
63;Дагестанский государственный технический университет;;1,56;2,29;2,54;3,44;5,23;11,51;12,57;11,61
64;Дагестанский государственный университет;;8,48;7,41;9,43;13,24;16,88;24,83;29,16;26,22
66;Приамурский государственный университет имени Шолом-Алейхема;;11,02;7,66;6,16;13,67;19,77;30,32;52,48;44,63
67;Дальневосточный государственный гуманитарный университет;;;;;;;;;
70;Донской государственный технический университет;;3,27;7,06;11,15;12,23;25,56;33,67;38,22;58,89
72;Елецкий государственный университет им. И.А. Бунина;;1,59;1,87;14,27;12,56;16,42;21,27;24,4;37,83
76;Ивановский государственный университет;;10,6;15,83;14,07;11,26;23,1;21,22;36,9;27,7
77;Ивановский государственный химико-технологический университет;;36,14;48,24;51,1;61;83,93;96,71;109,14;88,91
78;Ивановский государственный энергетический университет имени В.И. Ленина;;4,34;5,82;11,76;5,16;12,57;13,28;16,86;18,56
79;Ижевский государственный технический университет имени М.Т. Калашникова;;24,35;5,64;5,73;7,16;49,53;13,99;19,69;30,87
80;Ингушский государственный университет;;1,6;2,64;3,38;5,5;1,96;2,69;6,44;9,43
82;Иркутский национальный исследовательский технический университет;;6,4;8,8;10,37;12,75;26,66;40,98;58,42;73,31
83;Иркутский государственный университет;;15,83;12,46;19,28;21,28;26,3;30,83;46,81;40,3
85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова;;6,62;6,75;12,27;20,72;22,48;37,79;29,57;30,2
86;Казанский государственный архитектурно-строительный университет;;5,06;11,22;14,29;26,79;17,72;18,11;26,79;73,45
87;Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ;;6,79;9,19;24,12;29,66;55,68;63,67;84,22;85,66
88;Казанский национальный исследовательский технологический университет;;13,52;13,74;19,99;21,15;31,72;46,36;57,06;56,18
91;Казанский государственный энергетический университет;;8,06;8,12;13,31;20,51;29,79;38,47;116,07;109,66
92;Калмыцкий государственный университет;;3,93;4,23;4,2;5,89;9,72;11,61;17,2;17,08
93;Калужский государственный университет им. К.Э. Циолковского;;1,7;2,07;8,66;11,8;8,06;12,92;15,4;10,53
95;Камчатский государственный университет имени Витуса Беринга;;6,07;21,05;8,95;14,04;23,35;16,08;16,38;
96;Северо-Кавказская государственная гуманитарно-технологическая академия;;0;0;2,12;2,23;2,68;4,02;9,91;3,97
97;Карачаево-Черкесского государственного университета имени У.Д. Алиева;;0;0,86;1,27;0,71;1,86;4,36;3,64;7,65
99;Кемеровский государственный университет;;3,8;8,55;14,47;24,74;29,08;28,41;39,32;45,16
100;Кемеровский технологический институт пищевой промышленности;;2,71;1,08;1,29;7,24;10,57;;;
101;Ковровская государственная технологическая академия имени В.А.Дегтярева;;7,06;1,93;4,08;2,35;1,25;2,68;12,61;4,6
103;Комсомольский-на-Амуре государственный технический университет;;4,86;5,71;8,99;11,62;18,46;20,31;31,5;35,35
104;Костромской государственный технологический университет.;;15,57;13,95;22,6;11,05;12,72;11,37;7,61;14,31
105;Костромской государственный университет имени Н.А. Некрасова;;3,44;5,5;;;;;;
106;Красноярский государственный педагогический университетим. В.П. Астафьева;;2,38;5,22;7,33;9,66;12,18;19,25;19,8;22,82
108;Кубанский государственный технологический университет;;4,62;6,33;7,17;12,88;17,91;20,06;20,21;27
109;Кубанский государственный университет;;5,94;6,14;10,22;11,9;11,51;21,09;22,66;26,82
111;Кузбасский государственный технический университет имени Т.Ф.Горбачева;;2,35;4,61;21,45;31,48;40,81;30,46;53,04;55,47
112;Курганский государственный университет;;2,46;2,01;3,18;2,02;3,67;8,02;14,84;18,25
113;Юго-Западный государственный университет;;13,13;22,98;18,1;27,46;36,76;35,75;47,37;48,54
114;Курский государственный университет;;2,84;2,63;2,87;4,89;6,07;11,5;16,95;18,81
116;Липецкий государственный педагогический университет;;2,85;5,79;6,43;14,08;16,35;12,54;7,42;14,39
117;Липецкий государственный технический университет;;3,76;4,35;10,67;10,43;17,32;24,52;33,38;40,76
118;Литературный институт имени А.М. Горького;;2,77;1,4;0;0;0;2,63;3,92;27,27
119;МАТИ - Российский государственный технологический университет имени К.Э. Циолковского;;3,6;;;;;;;
120;Магнитогорский государственный технический университет им. Г.И. Носова;;2,42;6,67;6,44;22,93;30,47;45,39;59,23;46,26
122;Майкопский государственный технологический университет;;2,07;1,09;2,54;2,45;5,82;9,49;16,81;11,52
